timestamp (epoch),loop time (s),des velocity,velocity (Rad/S),Futek Torque (Nm),v_bus,i_bus,v_q,i_q,v_d,i_d,accel
1679070271.3951583,0.04999995231628418,-14.0,-0.0034906585039886587,0.0773623609118701,24.4,0.0,-0.003,0.0,0.005,0.0,-0.24837367340006528
1679070271.445169,0.09999990463256836,-14.0,-0.0034906585039886587,-5.812817393108922,24.4,0.0,-0.003,0.0,0.005,0.0,-0.24837367340006528
1679070271.4950814,0.14999985694885254,-14.0,-5.299401385472116,-13.538053148594642,24.5,-0.1,-0.703,5.4,0.131,-0.86,-13.031411349956256
1679070271.545289,0.19999980926513672,-14.0,-5.299401385472116,-15.523113727835938,24.5,-0.1,-0.703,5.4,0.131,-0.86,-13.031411349956256
1679070271.5953636,0.2499997615814209,-14.0,-13.75028562362866,-14.968096790063184,24.7,-3.38,-3.568,16.12,1.683,-0.23,-136.0973329187803
1679070271.6469908,0.2999997138977051,-14.0,-13.75028562362866,-11.452989517502363,24.7,-3.38,-3.568,16.12,1.683,-0.23,-136.0973329187803
1679070271.6971664,0.34999966621398926,-14.0,-13.950998487608008,-10.807969833063762,24.6,-3.92,-3.664,17.58,2.269,-0.01,-137.36754707015535
1679070271.7469726,0.39999961853027344,-14.0,-13.950998487608008,-14.10307039155249,24.6,-3.92,-3.664,17.58,2.269,-0.01,-137.36754707015535
1679070271.7968748,0.4499995708465576,-14.0,-14.152293128004686,-17.883185751518305,24.7,-3.91,-3.79,17.16,2.216,0.23,-141.72749877863683
1679070271.8469605,0.4999995231628418,-14.0,-14.152293128004686,-14.828092517471845,24.7,-3.91,-3.79,17.16,2.216,0.23,-141.72749877863683
1679070271.8968868,0.549999475479126,-14.0,-14.152293128004686,-12.383017899716187,24.7,-3.91,-3.79,17.16,2.216,0.23,-141.72749877863683
1679070271.946938,0.5999994277954102,-14.0,-13.864313801425622,-11.572993179723507,24.7,-3.9,-3.719,16.98,2.219,-0.24,-93.10291044457115
1679070271.9966557,0.6499993801116943,-14.0,-14.054554689893004,-13.398048876003319,24.8,-3.9,-3.748,16.95,2.197,-0.03,-275.4372252781842
