timestamp (epoch),loop time (s),des velocity,velocityM (Rad/S),Futek Torque (Nm),v_busM,i_busM,v_qM,i_qM,v_dM,i_dM,accelM,velocityL (Rad/S),v_busL,i_busL,v_qL,i_qL,v_dL,i_dL,accelL
1680728048.5089247,1680728048,-4.0,-0.0005817764173314432,0.0012200372325921194,22.7,0.0,-0.003,0.0,-0.007,0.0,-0.3745429246844115,0.0,22.8,0.0,0.004,0.0,-0.012,0.0,0.0
1680728048.5133367,1680728048,-4.0,-0.0005817764173314432,0.0012200372325921194,22.7,0.0,-0.003,0.0,-0.007,0.0,-0.3745429246844115,0.0,22.8,0.0,0.004,0.0,-0.012,0.0,0.0
1680728048.5180576,1680728048,-4.0,-0.0005817764173314432,0.03122095278785153,22.7,0.0,-0.003,0.0,-0.007,0.0,-0.3745429246844115,-0.23678300185389736,22.6,0.97,-1.875,-8.36,-0.409,1.53,-2.0980513724304797
1680728048.5238037,1680728048,-4.0,-0.0005817764173314432,-0.7738036146122695,22.7,0.0,-0.003,0.0,-0.007,0.0,-0.3745429246844115,-1.151335529898926,22.6,1.66,-2.635,-11.95,-1.704,3.86,-251.7359755198449
1680728048.5282688,1680728048,-4.0,-0.0005817764173314432,-7.193999543443094,22.7,0.0,-0.003,0.0,-0.007,0.0,-0.3745429246844115,-2.5185101106278176,22.5,2.18,-3.275,-12.57,-3.0,2.97,-430.280938128175
1680728048.5323434,1680728048,-4.0,-1.42709755171403,-11.194121617480999,22.6,-0.01,-0.618,0.37,0.0,-0.18,-11.599549964525817,-2.5185101106278176,22.5,2.18,-3.275,-12.57,-3.0,2.97,-430.280938128175
1680728048.5386782,1680728048,-4.0,-2.7157323161031766,-12.949175177465138,22.7,0.33,0.318,13.92,0.502,-1.42,-299.0995172743959,-3.5308010767845284,22.4,3.47,-3.437,-14.21,-3.512,-0.45,-393.5281962043382
1680728048.5440824,1680728048,-4.0,-3.1887165433936397,-10.964114598223826,22.6,0.29,0.281,14.88,0.398,-2.16,-601.9373757964858,-3.504039361587282,22.4,3.43,-3.34,-14.2,-3.171,-0.88,-675.2897587972333
1680728048.5492783,1680728048,-4.0,-3.3952471715463024,-8.564041353801084,22.6,0.02,-0.098,12.23,0.115,-3.53,-659.9026317240659,-3.504039361587282,22.4,3.43,-3.34,-14.2,-3.171,-0.88,-675.2897587972333
1680728048.5539343,1680728048,-4.0,-3.3952471715463024,-7.444007173070463,22.6,0.02,-0.098,12.23,0.115,-3.53,-659.9026317240659,-3.504039361587282,22.4,3.43,-3.34,-14.2,-3.171,-0.88,-675.2897587972333
1680728048.558301,1680728048,-4.0,-3.3952471715463024,-11.234122838221392,22.6,0.02,-0.098,12.23,0.115,-3.53,-659.9026317240659,-3.504039361587282,22.4,3.43,-3.34,-14.2,-3.171,-0.88,-675.2897587972333
1680728048.5627165,1680728048,-4.0,-3.3952471715463024,-12.529162359691155,22.6,0.02,-0.098,12.23,0.115,-3.53,-659.9026317240659,-4.856669531882887,22.2,3.44,-5.261,-10.06,-0.347,-1.59,-238.89792705651033
1680728048.56678,1680728048,-4.0,-4.1492294084078525,-16.729290537430952,22.6,-0.11,-0.03,12.05,0.056,-4.08,-276.5078807194695,-4.856669531882887,22.2,3.44,-5.261,-10.06,-0.347,-1.59,-238.89792705651033
1680728048.5727417,1680728048,-4.0,-4.616395871525001,-16.379279855952653,22.6,0.41,0.439,20.02,1.113,-3.18,-563.9966115033294,-4.856669531882887,22.2,3.44,-5.261,-10.06,-0.347,-1.59,-238.89792705651033
1680728048.5772917,1680728048,-4.0,-4.616395871525001,-19.069361950743122,22.6,0.41,0.439,20.02,1.113,-3.18,-563.9966115033294,-5.020148705153023,22.1,5.45,-5.585,-14.18,-0.272,0.0,-352.4611616106151
1680728048.5819807,1680728048,-4.0,-4.725769837983313,-17.21930549150061,22.5,1.59,1.048,25.11,1.607,-1.02,-724.8076693799231,-4.739732471999267,22.2,5.51,-5.185,-15.21,-0.29,0.08,-994.1927818681944
1680728048.5871031,1680728048,-4.0,-4.62803139987163,-17.46431296853542,22.5,1.99,1.065,25.97,1.58,0.28,-1091.5689485805083,-4.739732471999267,22.2,5.51,-5.185,-15.21,-0.29,0.08,-994.1927818681944
1680728048.5916784,1680728048,-4.0,-4.62803139987163,-15.739260324106574,22.5,1.99,1.065,25.97,1.58,0.28,-1091.5689485805083,-4.218460802070294,22.2,4.81,-4.775,-14.56,-0.183,-0.1,-420.0937132809403
1680728048.5956056,1680728048,-4.0,-4.261512256952821,-15.779261544846952,22.6,1.36,0.737,22.88,1.155,0.61,-427.46634872019524,-4.218460802070294,22.2,4.81,-4.775,-14.56,-0.183,-0.1,-420.0937132809403
1680728048.6003833,1680728048,-4.0,-4.261512256952821,-15.229244759666738,22.6,1.36,0.737,22.88,1.155,0.61,-427.46634872019524,-4.111413941281309,22.1,4.59,-4.868,-13.83,-0.122,0.01,-473.5814115720199
1680728048.6057913,1680728048,-4.0,-4.144575197069201,-16.544284891506695,22.6,0.78,0.518,20.07,0.945,0.08,-456.8502359298872,-4.111413941281309,22.1,4.59,-4.868,-13.83,-0.122,0.01,-473.5814115720199
1680728048.609635,1680728048,-4.0,-4.144575197069201,-15.804262307809685,22.6,0.78,0.518,20.07,0.945,0.08,-456.8502359298872,-4.111413941281309,22.1,4.59,-4.868,-13.83,-0.122,0.01,-473.5814115720199
1680728048.6141756,1680728048,-4.0,-4.209152379392991,-16.25427604113895,22.6,0.93,0.618,20.83,1.102,-0.06,-470.38432967860865,-4.235914094590238,22.2,4.75,-4.985,-13.95,-0.154,-0.02,-308.75539041405926
1680728048.6189494,1680728048,-4.0,-4.209152379392991,-16.539284738914155,22.6,0.93,0.618,20.83,1.102,-0.06,-470.38432967860865,-4.248713175771529,22.1,4.8,-4.999,-14.01,-0.161,0.02,-950.2183357145797
1680728048.6247969,1680728048,-4.0,-4.25685804561417,-16.079270700399793,22.6,1.36,0.856,22.73,1.354,-0.04,-954.9934065121788,-4.248713175771529,22.1,4.8,-4.999,-14.01,-0.161,0.02,-950.2183357145797
1680728048.6291628,1680728048,-4.0,-4.25685804561417,-16.459282297433386,22.6,1.36,0.856,22.73,1.354,-0.04,-954.9934065121788,-4.248713175771529,22.1,4.8,-4.999,-14.01,-0.161,0.02,-950.2183357145797
1680728048.6348417,1680728048,-4.0,-4.149811184825184,-16.224275125583656,22.5,1.3,0.803,22.39,1.235,0.12,-872.1536128554898,-4.248713175771529,22.1,4.8,-4.999,-14.01,-0.161,0.02,-950.2183357145797
1680728048.6399682,1680728048,-4.0,-4.093960648761366,-16.49428336558124,22.5,1.34,0.835,22.2,1.147,0.18,-862.7934642218063,-4.248713175771529,22.1,4.8,-4.999,-14.01,-0.161,0.02,-950.2183357145797
1680728048.6448505,1680728048,-4.0,-4.093960648761366,-15.85426383373516,22.5,1.34,0.835,22.2,1.147,0.18,-862.7934642218063,-4.085234002501394,22.2,4.68,-4.835,-14.11,-0.151,0.04,-158.94615422373988
1680728048.6501894,1680728048,-4.0,-4.093960648761366,-16.404280618915372,22.5,1.34,0.835,22.2,1.147,0.18,-862.7934642218063,-4.079416238328079,22.2,4.59,-4.837,-13.88,-0.139,-0.04,-821.4658335054212
1680728048.6541536,1680728048,-4.0,-4.093960648761366,-15.61925666188543,22.5,1.34,0.835,22.2,1.147,0.18,-862.7934642218063,-4.079416238328079,22.2,4.59,-4.837,-13.88,-0.139,-0.04,-821.4658335054212
1680728048.6589146,1680728048,-4.0,-4.093960648761366,-15.984267801141403,22.5,1.34,0.835,22.2,1.147,0.18,-862.7934642218063,-4.093960648761366,22.2,4.6,-4.871,-13.85,-0.133,-0.01,-442.5824920084126
1680728048.6631358,1680728048,-4.0,-4.156792501833161,-16.3542790929899,22.5,1.4,0.882,22.52,1.359,-0.1,-202.95029994772062,-4.13992098573055,22.2,4.67,-4.923,-13.87,-0.135,-0.03,-844.3514296199168
1680728048.6674955,1680728048,-4.0,-4.110250388446646,-16.079270700399793,22.6,1.34,0.837,21.94,1.361,0.06,-908.2577127265856,-4.146320526321196,22.1,4.74,-4.907,-14.09,-0.151,0.05,-956.438913756316
1680728048.671807,1680728048,-4.0,-4.110250388446646,-16.689289316690576,22.6,1.34,0.837,21.94,1.361,0.06,-908.2577127265856,-4.154465396163836,22.2,4.68,-4.906,-13.96,-0.15,-0.01,-994.2990487299036
1680728048.6761634,1680728048,-4.0,-4.110250388446646,-16.514283975951418,22.6,1.34,0.837,21.94,1.361,0.06,-908.2577127265856,-4.133521445139904,22.2,4.75,-4.863,-14.18,-0.158,0.03,-970.0786443283392
1680728048.6816325,1680728048,-4.0,-4.04334610045353,-16.48928321298868,22.5,1.43,0.859,22.61,1.227,0.19,-279.88880912524166,-4.063126498642799,22.2,4.67,-4.775,-14.24,-0.154,-0.02,-846.6385675276211
1680728048.685945,1680728048,-4.0,-4.04334610045353,-16.079270700399793,22.5,1.43,0.859,22.61,1.227,0.19,-279.88880912524166,-4.063126498642799,22.2,4.67,-4.775,-14.24,-0.154,-0.02,-846.6385675276211
1680728048.6901236,1680728048,-4.0,-3.959570296357802,-15.85426383373516,22.5,1.27,0.78,21.73,1.033,0.26,-481.8837491961094,-4.063126498642799,22.2,4.67,-4.775,-14.24,-0.154,-0.02,-846.6385675276211
1680728048.6948621,1680728048,-4.0,-3.959570296357802,-16.134272378917807,22.5,1.27,0.78,21.73,1.033,0.26,-481.8837491961094,-3.936881016081876,22.2,4.49,-4.727,-13.9,-0.121,-0.01,-294.3452787621219
1680728048.6990042,1680728048,-4.0,-3.9438623330898532,-15.464251931516468,22.5,1.14,0.732,21.04,1.027,-0.08,-452.6160166122556,-3.9479347680111734,22.2,4.52,-4.749,-13.94,-0.117,-0.02,-829.7258400164521
1680728048.7043269,1680728048,-4.0,-3.9438623330898532,-15.814262612994767,22.5,1.14,0.732,21.04,1.027,-0.08,-452.6160166122556,-3.9874955643897114,22.2,4.52,-4.808,-13.79,-0.12,0.02,-946.3993093991639
