timestamp (epoch),loop time (s),des velocity,velocityM (Rad/S),Futek Torque (Nm),v_busM,i_busM,v_qM,i_qM,v_dM,i_dM,accelM,velocityL (Rad/S),v_busL,i_busL,v_qL,i_qL,v_dL,i_dL,accelL
1680728631.9975572,1680728631,-4.0,-0.0017453292519943294,-0.038841185338913675,22.7,0.0,0.0,0.0,0.001,0.0,-0.00852469037322014,0.0023271056693257726,22.7,0.0,0.009,0.0,0.001,0.0,2.0304948236479645
1680728632.001743,1680728631,-4.0,-0.0017453292519943294,-0.03384103274635564,22.7,0.0,0.0,0.0,0.001,0.0,-0.00852469037322014,0.0023271056693257726,22.7,0.0,0.009,0.0,0.001,0.0,2.0304948236479645
1680728632.0058115,1680728632,-4.0,-0.0017453292519943294,-0.4088524771874269,22.5,0.0,-0.015,0.0,0.002,0.0,-0.016260890392118883,0.0023271056693257726,22.7,0.0,0.009,0.0,0.001,0.0,2.0304948236479645
1680728632.0104837,1680728632,-4.0,-0.11868238913561441,-4.153966769005404,22.6,0.08,-0.525,-1.86,0.027,-0.01,-27.733579557694803,-1.0058914255660651,22.5,1.71,-2.685,-11.78,-1.571,3.67,-8.648037809808283
1680728632.0145817,1680728632,-4.0,-0.11868238913561441,-5.38900445936461,22.6,0.08,-0.525,-1.86,0.027,-0.01,-27.733579557694803,-1.0058914255660651,22.5,1.71,-2.685,-11.78,-1.571,3.67,-8.648037809808283
1680728632.0192518,1680728632,-4.0,-1.4305882102180187,-12.72922846522416,22.6,-0.02,-0.533,1.2,-0.006,-0.17,-165.29812265758338,-2.767510417245675,22.3,2.7,-3.554,-12.94,-3.106,1.96,-318.4750881555971
1680728632.0238187,1680728632,-4.0,-2.0170188388881134,-11.69419687856685,22.6,0.21,0.352,10.05,0.203,-1.64,-458.78471713794846,-2.767510417245675,22.3,2.7,-3.554,-12.94,-3.106,1.96,-318.4750881555971
1680728632.0279377,1680728632,-4.0,-2.540035838069081,-10.979175057832578,22.6,0.22,0.227,12.11,0.228,-1.58,-535.9264789856884,-2.767510417245675,22.3,2.7,-3.554,-12.94,-3.106,1.96,-318.4750881555971
1680728632.032112,1680728632,-4.0,-2.540035838069081,-10.744167885982847,22.6,0.22,0.227,12.11,0.228,-1.58,-535.9264789856884,-2.767510417245675,22.3,2.7,-3.554,-12.94,-3.106,1.96,-318.4750881555971
1680728632.0366209,1680728632,-4.0,-2.540035838069081,-8.70910578081606,22.6,0.22,0.227,12.11,0.228,-1.58,-535.9264789856884,-2.767510417245675,22.3,2.7,-3.554,-12.94,-3.106,1.96,-318.4750881555971
