timestamp (epoch),loop time (s),des velocity,velocity (Rad/S),Futek Torque (Nm),v_bus,i_bus,v_q,i_q,v_d,i_d,accel
1678924703.7829332,0.04999995231628418,-14.0,-0.005817764173314432,-0.03443105075227493,24.3,0.0,0.001,0.0,0.002,0.0,-5.9198135718557525
1678924703.8335078,0.09999990463256836,-14.0,-0.002908882086657216,3.270669812921554,24.3,0.0,0.0,0.0,0.007,0.0,-0.0077451219920234545
1678924703.8836331,0.14999985694885254,-14.0,-0.002908882086657216,2.3656421936704675,24.3,0.0,0.0,0.0,0.007,0.0,-0.0077451219920234545
1678924703.9332325,0.19999980926513672,-14.0,-0.002908882086657216,-2.8245161973937094,24.3,0.0,0.0,0.0,0.007,0.0,-0.0077451219920234545
1678924703.9829705,0.2499997615814209,-14.0,-0.002908882086657216,-1.3794720981475095,24.3,0.0,0.0,0.0,0.007,0.0,-0.0077451219920234545
1678924704.0331082,0.2999997138977051,-14.0,-0.002908882086657216,-0.8794568388927892,24.3,0.0,0.0,0.0,0.007,0.0,-0.0077451219920234545
1678924704.0831838,0.34999966621398926,-14.0,-13.962052239537304,-0.4194428003784089,24.2,-0.18,-6.093,0.5,-0.575,-0.04,-55.881196992338694
1678924704.1331403,0.39999961853027344,-14.0,-13.998704153829186,-0.5294461574144549,24.3,-0.17,-6.117,0.45,-0.572,-0.02,-279.42007998449714
1678924704.1830604,0.4499995708465576,-14.0,-14.086552392846233,-0.7044514981536132,24.3,-0.14,-6.155,0.38,-0.579,0.02,-281.1923026100912
1678924704.2330813,0.4999995231628418,-14.0,-14.086552392846233,-1.3744719455549692,24.3,-0.14,-6.155,0.38,-0.579,0.02,-281.1923026100912
1678924704.2831666,0.549999475479126,-14.0,-13.993468166073203,-1.1744658418530562,24.1,-0.17,-6.136,0.45,-0.549,0.02,-139.84845803162222
1678924704.3334603,0.5999994277954102,-14.0,-13.993468166073203,-1.1394647737052388,24.1,-0.17,-6.136,0.45,-0.549,0.02,-139.84845803162222
1678924704.3826263,0.6499993801116943,-14.0,-13.993468166073203,-1.314470114444397,24.1,-0.17,-6.136,0.45,-0.549,0.02,-139.84845803162222
1678924704.4326873,0.6999993324279785,-14.0,-14.077825746586262,-1.1894662996307126,24.3,-0.15,-6.135,0.4,-0.57,-0.02,-93.80499671181063
1678924704.4833088,0.7499992847442627,-14.0,-14.077825746586262,-0.8144548551896591,24.3,-0.15,-6.135,0.4,-0.57,-0.02,-93.80499671181063
1678924704.5333881,0.7999992370605469,-14.0,-14.077825746586262,-0.2044362388988752,24.3,-0.15,-6.135,0.4,-0.57,-0.02,-93.80499671181063
1678924704.5835133,0.849999189376831,-14.0,-14.077825746586262,-0.5594470729697498,24.3,-0.15,-6.135,0.4,-0.57,-0.02,-93.80499671181063
1678924704.6340456,0.8999991416931152,-14.0,-13.97601487355326,-1.259468435926383,24.3,-0.18,-6.11,0.48,-0.563,-0.05,-69.8127301061178
1678924704.683195,0.9499990940093994,-14.0,-14.053972913475672,-1.1794659944456143,24.3,-0.13,-6.159,0.35,-0.587,-0.02,-274.9876834260088
1678924704.734053,0.9999990463256836,-14.0,-14.059790677648987,-1.149465078890337,24.3,-0.16,-6.135,0.42,-0.577,0.01,-286.521697811288
1678924704.7836392,1.0499989986419678,-14.0,-14.0045219180025,-0.6394495144505008,24.3,-0.16,-6.143,0.42,-0.565,0.07,-286.00264046531095
1678924704.8333917,1.099998950958252,-14.0,-13.938781182844046,-0.3794415796380335,24.3,-0.19,-6.111,0.49,-0.544,0.01,-273.664458837288
1678924704.8837814,1.1499989032745361,-14.0,-13.870131565598937,-0.5494467677846337,24.3,-0.18,-6.108,0.48,-0.542,-0.03,-276.7891726430577
1678924704.933764,1.1999988555908203,-14.0,-13.870131565598937,-0.1644350181584997,24.3,-0.18,-6.108,0.48,-0.542,-0.03,-276.7891726430577
1678924704.9843087,1.2499988079071045,-14.0,-13.870131565598937,-0.9294583648182453,24.3,-0.18,-6.108,0.48,-0.542,-0.03,-276.7891726430577
1678924705.0336568,1.2999987602233887,-14.0,-13.870131565598937,-0.44444356334116364,24.3,-0.18,-6.108,0.48,-0.542,-0.03,-276.7891726430577
1678924705.0836864,1.3499987125396729,-14.0,-13.990559283986546,-1.0544621796319475,24.3,-0.17,-6.129,0.46,-0.581,0.06,-70.28372936404227
1678924705.1338806,1.399998664855957,-14.0,-13.965542898041294,-1.1044637055574036,24.3,-0.15,-6.145,0.41,-0.565,0.01,-273.8245788760416
1678924705.183687,1.4499986171722412,-14.0,-13.965542898041294,-0.6244490566728622,24.3,-0.15,-6.145,0.41,-0.565,0.01,-273.8245788760416
1678924705.2331135,1.4999985694885254,-14.0,-14.007430800089157,-1.0994635529648633,24.2,-0.14,-6.145,0.38,-0.581,0.0,-139.8949992250294
1678924705.2838495,1.5499985218048096,-12.526315789473685,-14.098769697610194,-0.8694565337076733,24.3,-0.17,-6.13,0.46,-0.568,0.03,-287.7802571368481
1678924705.3339324,1.5999984741210938,-12.526315789473685,-14.069099100326289,0.07057215369123071,24.3,-0.16,-6.123,0.43,-0.556,0.04,-275.4879909286326
1678924705.383552,1.649998426437378,-12.526315789473685,-12.394164794829065,-2.039492240363767,24.2,-0.47,-5.355,1.8,-0.023,-0.09,-253.1156635291203
1678924705.4333913,1.699998378753662,-12.526315789473685,-12.65829128829754,-0.6644502774132555,24.3,-0.11,-5.529,0.41,-0.446,-0.02,-252.92967869083338
1678924705.4836946,1.7499983310699463,-12.526315789473685,-12.65829128829754,-0.7294522611163501,24.3,-0.11,-5.529,0.41,-0.446,-0.02,-252.92967869083338
1678924705.533654,1.7999982833862305,-12.526315789473685,-12.65829128829754,-0.7194519559312695,24.3,-0.11,-5.529,0.41,-0.446,-0.02,-252.92967869083338
1678924705.583697,1.8499982357025146,-12.526315789473685,-12.565207061524509,-0.5594470729697498,24.3,-0.14,-5.446,0.43,-0.425,-0.1,-83.64727188301399
1678924705.634065,1.8999981880187988,-12.526315789473685,-12.565207061524509,-0.724452108523792,24.3,-0.14,-5.446,0.43,-0.425,-0.1,-83.64727188301399
1678924705.6827881,1.949998140335083,-12.526315789473685,-12.590805223887093,-0.9544591277809998,24.3,-0.14,-5.471,0.43,-0.399,0.08,-124.60281794747472
1678924705.7337527,1.9999980926513672,-12.526315789473685,-12.590805223887093,-1.1244643159276002,24.3,-0.14,-5.471,0.43,-0.399,0.08,-124.60281794747472
1678924705.7832742,2.0499980449676514,-12.526315789473685,-12.590805223887093,-0.44944371593370386,24.3,-0.14,-5.471,0.43,-0.399,0.08,-124.60281794747472
1678924705.8332405,2.0999979972839355,-12.526315789473685,-12.616403386249676,-0.9044576018555083,24.4,-0.16,-5.437,0.49,-0.398,-0.02,-84.64720544344789
1678924705.8834622,2.1499979496002197,-12.526315789473685,-12.616403386249676,-0.5094455470442583,24.4,-0.16,-5.437,0.49,-0.398,-0.02,-84.64720544344789
1678924705.9333534,2.199997901916504,-12.526315789473685,-12.546008439752573,-0.7094516507461535,24.3,-0.16,-5.43,0.49,-0.419,-0.03,-125.32604246196635
1678924705.9832346,2.249997854232788,-12.526315789473685,-12.546008439752573,-0.9294583648182453,24.3,-0.16,-5.43,0.49,-0.419,-0.03,-125.32604246196635
1678924706.0332408,2.2999978065490723,-12.526315789473685,-12.498884549948725,-1.2794690462965619,24.3,-0.17,-5.451,0.49,-0.382,0.11,-125.07633891397833
1678924706.0834346,2.3499977588653564,-12.526315789473685,-12.498884549948725,-0.759453176671645,24.3,-0.17,-5.451,0.49,-0.382,0.11,-125.07633891397833
1678924706.13302,2.3999977111816406,-12.526315789473685,-12.498884549948725,-0.49944524185917777,24.3,-0.17,-5.451,0.49,-0.382,0.11,-125.07633891397833
1678924706.182972,2.449997663497925,-12.526315789473685,-12.498884549948725,-0.724452108523792,24.3,-0.17,-5.451,0.49,-0.382,0.11,-125.07633891397833
1678924706.2330194,2.499997615814209,-12.526315789473685,-12.437216249711591,-0.3494406640827563,24.3,-0.14,-5.46,0.44,-0.382,-0.06,-62.36262874098351
1678924706.2832592,2.549997568130493,-12.526315789473685,-12.542517781248582,-0.49944524185917777,24.3,-0.16,-5.451,0.47,-0.432,0.03,-246.03581767739098
1678924706.332893,2.5999975204467773,-12.526315789473685,-12.542517781248582,-0.6344493618579605,24.3,-0.16,-5.451,0.47,-0.432,0.03,-246.03581767739098
1678924706.3829973,2.6499974727630615,-12.526315789473685,-12.542517781248582,-0.9794598907437191,24.3,-0.16,-5.451,0.47,-0.432,0.03,-246.03581767739098
1678924706.4325967,2.6999974250793457,-12.526315789473685,-12.624548256092316,-0.9144579070406066,24.3,-0.13,-5.451,0.42,-0.398,-0.13,-84.13952903379334
1678924706.482904,2.74999737739563,-12.526315789473685,-12.624548256092316,-0.9294583648182453,24.3,-0.13,-5.451,0.42,-0.398,-0.13,-84.13952903379334
1678924706.533215,2.799997329711914,-12.526315789473685,-12.624548256092316,-0.14943456038086111,24.3,-0.13,-5.451,0.42,-0.398,-0.13,-84.13952903379334
1678924706.5830827,2.8499972820281982,-12.526315789473685,-12.624548256092316,-1.3194702670369374,24.3,-0.13,-5.451,0.42,-0.398,-0.13,-84.13952903379334
1678924706.6334229,2.8999972343444824,-12.526315789473685,-12.527391594397965,-0.22443684926907181,24.3,-0.14,-5.475,0.42,-0.438,0.08,-62.61268499945157
1678924706.6830645,2.9499971866607666,-12.526315789473685,-12.527391594397965,-1.094463400372323,24.3,-0.14,-5.475,0.42,-0.438,0.08,-62.61268499945157
1678924706.7330084,2.999997138977051,-12.526315789473685,-12.489576127271421,-1.3594714877773306,24.3,-0.14,-5.492,0.41,-0.377,0.07,-125.93293629661095
1678924706.7832627,3.049997091293335,-11.052631578947368,-12.608258516407036,-0.06943211890009238,24.3,-0.13,-5.47,0.4,-0.41,-0.08,-253.0244500241628
1678924706.8329477,3.099997043609619,-11.052631578947368,-12.608258516407036,0.17557535813471858,24.3,-0.13,-5.47,0.4,-0.41,-0.08,-253.0244500241628
1678924706.8834383,3.1499969959259033,-11.052631578947368,-12.608258516407036,-1.5394769811090292,24.3,-0.13,-5.47,0.4,-0.41,-0.08,-253.0244500241628
1678924706.9331348,3.1999969482421875,-11.052631578947368,-12.608258516407036,-0.8444557707449363,24.3,-0.13,-5.47,0.4,-0.41,-0.08,-253.0244500241628
1678924706.9829948,3.2499969005584717,-11.052631578947368,-12.608258516407036,-1.094463400372323,24.3,-0.13,-5.47,0.4,-0.41,-0.08,-253.0244500241628
1678924707.0329754,3.299996852874756,-11.052631578947368,-12.608258516407036,-1.0844630951872247,24.3,-0.13,-5.47,0.4,-0.41,-0.08,-253.0244500241628
1678924707.082927,3.34999680519104,-11.052631578947368,-10.94554151567377,-1.0744627900021264,24.3,-0.14,-4.78,0.48,-0.233,0.0,-36.47108664397523
