timestamp (epoch),loop time (s),des velocity,velocityM (Rad/S),Futek Torque (Nm),v_busM,i_busM,v_qM,i_qM,v_dM,i_dM,accelM,velocityL (Rad/S),v_busL,i_busL,v_qL,i_qL,v_dL,i_dL,accelL
1680728504.3505392,1680728504,-4.0,0.0,-0.005390164494762928,22.6,0.0,-0.004,0.0,-0.004,0.0,0.0,0.0017453292519943294,22.7,0.0,0.005,0.0,0.011,0.0,0.7052448422887114
1680728504.3546293,1680728504,-4.0,0.0,-0.1103933689382508,22.6,0.0,-0.004,0.0,-0.004,0.0,0.0,0.0017453292519943294,22.7,0.0,0.005,0.0,0.011,0.0,0.7052448422887114
1680728504.3591309,1680728504,-4.0,0.0,-2.445464629657881,22.6,0.0,-0.004,0.0,-0.004,0.0,0.0,-0.18384134787673603,22.6,0.87,-1.951,-7.34,-0.42,1.57,-0.3560605469440574
1680728504.3635008,1680728504,-4.0,0.013962634015954635,-3.2954905703909354,22.6,0.14,-0.726,-0.98,-0.019,-0.05,0.12340751885697854,-1.013454518991374,22.4,1.8,-2.715,-11.85,-1.451,3.23,-222.06333417738983
1680728504.3677113,1680728504,-4.0,0.013962634015954635,-8.055635838496027,22.6,0.14,-0.726,-0.98,-0.019,-0.05,0.12340751885697854,-1.9646589613282837,22.5,2.24,-3.289,-12.36,-2.455,2.88,-467.1680333428803
1680728504.3730092,1680728504,-4.0,0.013962634015954635,-11.220732429578533,22.6,0.14,-0.726,-0.98,-0.019,-0.05,0.12340751885697854,-2.647664475275398,22.3,3.03,-3.427,-13.83,-2.919,1.14,-587.074947097986
1680728504.3797827,1680728504,-4.0,0.013962634015954635,-11.610744331797225,22.6,0.14,-0.726,-0.98,-0.019,-0.05,0.12340751885697854,-3.0042934190995725,22.4,3.26,-3.348,-14.19,-2.94,-0.01,-594.4671370902964
1680728504.3849657,1680728504,-4.0,0.013962634015954635,-8.935662694784376,22.6,0.14,-0.726,-0.98,-0.019,-0.05,0.12340751885697854,-3.1037771864632493,22.4,3.24,-3.264,-14.2,-2.859,-0.24,-450.98680344666917
1680728504.3895652,1680728504,-4.0,0.013962634015954635,-7.3756150859095895,22.6,0.14,-0.726,-0.98,-0.019,-0.05,0.12340751885697854,-3.1037771864632493,22.4,3.24,-3.264,-14.2,-2.859,-0.24,-450.98680344666917
1680728504.395408,1680728504,-4.0,-3.707079331235956,-6.900600589617589,22.7,-0.34,-0.696,7.27,0.289,-0.17,-823.593287108443,-3.1037771864632493,22.4,3.24,-3.264,-14.2,-2.859,-0.24,-450.98680344666917
