timestamp (epoch),loop time (s),des velocity,velocityM (Rad/S),Futek Torque (Nm),v_busM,i_busM,v_qM,i_qM,v_dM,i_dM,accelM,velocityL (Rad/S),v_busL,i_busL,v_qL,i_qL,v_dL,i_dL,accelL
1680728014.8932467,1680728014,-4.0,-0.002908882086657216,-0.012800390636922288,22.6,0.0,-0.007,0.0,0.003,0.0,-0.014226504678832361,0.004654211338651545,22.8,0.0,-0.013,0.0,-0.001,0.0,4.2818989327816475
1680728014.8982286,1680728014,-4.0,-0.002908882086657216,-0.027800848414560875,22.6,0.0,-0.007,0.0,0.003,0.0,-0.014226504678832361,-0.002908882086657216,22.9,0.0,-0.019,0.0,-0.005,0.0,-0.026802786819963592
1680728014.903272,1680728014,-4.0,-0.002908882086657216,-0.0028000854518417384,22.6,0.0,-0.007,0.0,0.003,0.0,-0.014226504678832361,-0.002908882086657216,22.9,0.0,-0.019,0.0,-0.005,0.0,-0.026802786819963592
1680728014.9075809,1680728014,-4.0,-0.002908882086657216,-0.20280618915371915,22.6,0.0,-0.007,0.0,0.003,0.0,-0.014226504678832361,-0.002908882086657216,22.9,0.0,-0.019,0.0,-0.005,0.0,-0.026802786819963592
1680728014.9128628,1680728014,-4.0,-0.002908882086657216,-9.913102523880735,22.6,0.0,-0.007,0.0,0.003,0.0,-0.014226504678832361,-0.002908882086657216,22.9,0.0,-0.019,0.0,-0.005,0.0,-0.026802786819963592
1680728014.917382,1680728014,-4.0,-0.002908882086657216,-11.598153947569205,22.6,0.0,-0.007,0.0,0.003,0.0,-0.014226504678832361,-3.9624791784444593,22.4,3.75,-4.102,-14.43,-4.035,0.93,-204.84688435120492
1680728014.9233942,1680728014,-4.0,-2.979858809571652,-17.44833248084964,22.6,1.48,1.007,21.14,0.781,-1.37,-22.5415921488105,-3.9624791784444593,22.4,3.75,-4.102,-14.43,-4.035,0.93,-204.84688435120492
1680728014.9276664,1680728014,-4.0,-2.979858809571652,-7.528029737235631,22.6,1.48,1.007,21.14,0.781,-1.37,-22.5415921488105,-3.9624791784444593,22.4,3.75,-4.102,-14.43,-4.035,0.93,-204.84688435120492
1680728014.931925,1680728014,-4.0,-3.2998358391039457,-8.40305644093144,22.7,0.46,0.298,16.77,0.435,-0.67,-516.8035046972493,-3.9624791784444593,22.4,3.75,-4.102,-14.43,-4.035,0.93,-204.84688435120492
1680728014.9363208,1680728014,-4.0,-3.2998358391039457,-2.952890115054796,22.7,0.46,0.298,16.77,0.435,-0.67,-516.8035046972493,-3.9624791784444593,22.4,3.75,-4.102,-14.43,-4.035,0.93,-204.84688435120492
1680728014.9405153,1680728014,-4.0,-3.2998358391039457,-6.41799586169011,22.7,0.46,0.298,16.77,0.435,-0.67,-516.8035046972493,-3.9624791784444593,22.4,3.75,-4.102,-14.43,-4.035,0.93,-204.84688435120492
1680728014.944562,1680728014,-4.0,-3.9060468659633094,-10.978135026093323,22.7,-0.27,-0.532,5.94,0.089,-0.75,-304.11248875292125,-3.9624791784444593,22.4,3.75,-4.102,-14.43,-4.035,0.93,-204.84688435120492
1680728014.9493709,1680728014,-4.0,-3.9060468659633094,-10.873131821649835,22.7,-0.27,-0.532,5.94,0.089,-0.75,-304.11248875292125,-4.847942885622916,22.3,3.15,-5.155,-9.61,-0.43,-2.35,-151.50919644834687
1680728014.9552553,1680728014,-4.0,-3.9060468659633094,-17.45333263344218,22.7,-0.27,-0.532,5.94,0.089,-0.75,-304.11248875292125,-5.038765550507629,22.2,4.85,-5.683,-12.74,-0.168,-0.6,-1078.4362149082183
1680728014.9599304,1680728014,-4.0,-3.9060468659633094,-16.56330547196875,22.7,-0.27,-0.532,5.94,0.089,-0.75,-304.11248875292125,-5.032366009916983,22.2,5.62,-5.629,-14.5,-0.268,0.22,-855.8274696857171
1680728014.9659152,1680728014,-4.0,-4.63210383479295,-19.193385735648665,22.5,1.9,1.037,26.03,1.483,-0.15,-973.2717985516186,-5.032366009916983,22.2,5.62,-5.629,-14.5,-0.268,0.22,-855.8274696857171
1680728014.970249,1680728014,-4.0,-4.63210383479295,-17.19832485122227,22.5,1.9,1.037,26.03,1.483,-0.15,-973.2717985516186,-5.032366009916983,22.2,5.62,-5.629,-14.5,-0.268,0.22,-855.8274696857171
1680728014.9760764,1680728014,-4.0,-4.405792808451019,-16.54330486159857,22.6,1.74,0.927,24.61,1.344,0.21,-436.8923185960551,-4.3627413535684925,22.2,4.84,-4.866,-14.4,-0.206,-0.15,-285.4037824259181
1680728014.9815588,1680728014,-4.0,-4.30572726467001,-15.408270223090312,22.6,1.13,0.661,21.89,1.217,0.23,-796.1351211917865,-4.140502762147881,22.2,4.58,-4.768,-14.08,-0.162,-0.09,-738.0275932721902
1680728014.9867373,1680728014,-4.0,-4.30572726467001,-14.918255269020655,22.6,1.13,0.661,21.89,1.217,0.23,-796.1351211917865,-4.157374278250493,22.2,4.54,-4.911,-13.63,-0.124,-0.06,-748.7993972930457
1680728014.9919202,1680728014,-4.0,-4.30572726467001,-16.128292196417124,22.6,1.13,0.661,21.89,1.217,0.23,-796.1351211917865,-4.276638443803439,22.3,4.67,-5.084,-13.57,-0.136,0.01,-828.7143327049451
1680728014.9959235,1680728014,-4.0,-4.30572726467001,-16.24829585863827,22.6,1.13,0.661,21.89,1.217,0.23,-796.1351211917865,-4.276638443803439,22.3,4.67,-5.084,-13.57,-0.136,0.01,-828.7143327049451
1680728015.000227,1680728014,-4.0,-4.30572726467001,-16.868314780114133,22.6,1.13,0.661,21.89,1.217,0.23,-796.1351211917865,-4.380194646088436,22.2,4.93,-5.095,-14.12,-0.187,0.02,-471.07353653505925
1680728015.0047133,1680728015,-4.0,-4.336561414788577,-17.353329581591233,22.5,1.5,0.97,23.52,1.439,-0.25,-211.41721070163064,-4.380194646088436,22.2,4.93,-5.095,-14.12,-0.187,0.02,-471.07353653505925
1680728015.0091202,1680728015,-4.0,-4.221369684156952,-16.503303640858178,22.5,1.61,0.889,23.77,1.316,0.36,-973.161907867332,-4.380194646088436,22.2,4.93,-5.095,-14.12,-0.187,0.02,-471.07353653505925
1680728015.0139284,1680728015,-4.0,-4.205079944471671,-16.71831020233773,22.5,1.55,0.938,23.52,1.258,0.27,-952.0854861763729,-4.122467693210607,22.1,4.63,-4.789,-14.11,-0.158,-0.09,-320.46858929671055
1680728015.018609,1680728015,-4.0,-4.205079944471671,-15.718279683828234,22.5,1.55,0.938,23.52,1.258,0.27,-952.0854861763729,-4.024147478681592,22.2,4.59,-4.734,-14.16,-0.143,-0.04,-810.492094426128
1680728015.023317,1680728015,-4.0,-4.086979331753388,-15.948286703085426,22.6,1.14,0.735,21.62,1.059,0.06,-407.929983320417,-4.002621751240329,22.2,4.5,-4.76,-13.87,-0.128,-0.06,-833.658378275614
1680728015.028445,1680728015,-4.0,-4.039855441949541,-15.698279073458057,22.6,1.12,0.705,21.36,1.039,-0.07,-1047.6308791635174,-4.020075043760272,22.2,4.55,-4.807,-13.88,-0.124,-0.02,-906.6252734887561
1680728015.032643,1680728015,-4.0,-4.063126498642799,-15.998288229010898,22.6,0.95,0.649,20.56,1.089,-0.15,-665.0791338496522,-4.020075043760272,22.2,4.55,-4.807,-13.88,-0.124,-0.02,-906.6252734887561
1680728015.0379312,1680728015,-4.0,-4.063126498642799,-16.303297537156283,22.6,0.95,0.649,20.56,1.089,-0.15,-665.0791338496522,-4.020075043760272,22.2,4.55,-4.807,-13.88,-0.124,-0.02,-906.6252734887561
1680728015.0432308,1680728015,-4.0,-4.173664017935773,-16.118291891232044,22.5,1.25,0.839,22.06,1.315,-0.21,-327.5812736968148,-4.131776115887909,22.2,4.72,-4.905,-14.05,-0.154,0.06,-282.094722542821
1680728015.0484416,1680728015,-4.0,-4.083488673249399,-16.853314322336495,22.5,1.5,0.873,22.94,1.273,0.17,-823.2344569173108,-4.131776115887909,22.2,4.72,-4.905,-14.05,-0.154,0.06,-282.094722542821
1680728015.0529335,1680728015,-4.0,-4.083488673249399,-16.203294485305335,22.5,1.5,0.873,22.94,1.273,0.17,-823.2344569173108,-4.131776115887909,22.2,4.72,-4.905,-14.05,-0.154,0.06,-282.094722542821
1680728015.0580304,1680728015,-4.0,-4.083488673249399,-16.373299673451953,22.5,1.5,0.873,22.94,1.273,0.17,-823.2344569173108,-4.048582088209513,22.2,4.6,-4.78,-14.05,-0.143,-0.04,-267.3202469484362
1680728015.0623326,1680728015,-4.0,-4.083488673249399,-16.143292654194763,22.5,1.5,0.873,22.94,1.273,0.17,-823.2344569173108,-4.048582088209513,22.2,4.6,-4.78,-14.05,-0.143,-0.04,-267.3202469484362
1680728015.066511,1680728015,-4.0,-4.017166161673615,-15.938286397900328,22.5,1.21,0.778,21.58,1.085,0.11,-260.6462486939591,-4.048582088209513,22.2,4.6,-4.78,-14.05,-0.143,-0.04,-267.3202469484362
1680728015.071143,1680728015,-4.0,-4.017166161673615,-16.033289297158735,22.5,1.21,0.778,21.58,1.085,0.11,-260.6462486939591,-4.048582088209513,22.2,4.6,-4.78,-14.05,-0.143,-0.04,-267.3202469484362
1680728015.075831,1680728015,-4.0,-4.017166161673615,-15.598276021607111,22.5,1.21,0.778,21.58,1.085,0.11,-260.6462486939591,-3.99913109273634,22.2,4.57,-4.796,-13.96,-0.131,0.04,-220.83855410891334
1680728015.0801685,1680728015,-4.0,-4.017166161673615,-16.1682934171575,22.5,1.21,0.778,21.58,1.085,0.11,-260.6462486939591,-3.99913109273634,22.2,4.57,-4.796,-13.96,-0.131,0.04,-220.83855410891334
1680728015.0859337,1680728015,-4.0,-4.017166161673615,-15.838283346049382,22.5,1.21,0.778,21.58,1.085,0.11,-260.6462486939591,-4.0875611081707195,22.2,4.66,-4.886,-13.95,-0.138,0.04,-447.8468707550515
1680728015.0901494,1680728015,-4.0,-4.017166161673615,-16.57830592974639,22.5,1.21,0.778,21.58,1.085,0.11,-260.6462486939591,-4.0875611081707195,22.2,4.66,-4.886,-13.95,-0.138,0.04,-447.8468707550515
1680728015.0946748,1680728015,-4.0,-4.060799392973474,-16.613306997894224,22.5,1.52,0.914,22.99,1.312,0.1,-145.5186222149277,-4.121885916793275,22.2,4.73,-4.875,-14.12,-0.155,0.04,-404.5972990486707
1680728015.1001372,1680728015,-4.0,-4.011348397500301,-16.443301809747606,22.6,1.32,0.821,22.07,1.171,0.33,-943.1478574487977,-4.062544722225468,22.2,4.69,-4.786,-14.26,-0.154,0.0,-957.6007406209491
1680728015.1057453,1680728015,-4.0,-4.011348397500301,-16.448301962340164,22.6,1.32,0.821,22.07,1.171,0.33,-943.1478574487977,-3.9968039870670147,22.2,4.58,-4.733,-14.1,-0.141,-0.04,-750.1257808381567
