timestamp (epoch),loop time (s),des velocity,velocity (Rad/S),Futek Torque (Nm),v_bus,i_bus,v_q,i_q,v_d,i_d,accel
1678926466.8689265,0.04999995231628418,-14.0,0.0040724349213201025,0.0235607190161069,23.7,0.0,0.002,0.0,-0.004,0.0,0.30998929404073516
1678926466.9188678,0.09999990463256836,-14.0,0.0040724349213201025,-14.41687996826074,23.7,0.0,0.002,0.0,-0.004,0.0,0.30998929404073516
1678926466.9688299,0.14999985694885254,-14.0,0.0040724349213201025,-12.65682625568406,23.7,0.0,0.002,0.0,-0.004,0.0,0.30998929404073516
1678926467.0187457,0.19999980926513672,-14.0,-10.843148866223437,-10.026745992004145,24.0,-1.77,-2.045,14.07,1.047,-0.19,-23.634497972593653
1678926467.069425,0.2499997615814209,-14.0,-13.530374137877374,-7.931682055726785,24.1,-3.21,-3.924,12.9,1.263,-0.29,-270.61677364714564
1678926467.1188662,0.2999997138977051,-14.0,-13.890493740205537,-9.051716236457388,24.0,-2.95,-4.455,10.51,1.12,0.08,-272.6283613858571
1678926467.1685746,0.34999966621398926,-14.0,-13.890493740205537,-8.721706165349268,24.0,-2.95,-4.455,10.51,1.12,0.08,-272.6283613858571
1678926467.218589,0.39999961853027344,-14.0,-13.890493740205537,-7.321663439436002,24.0,-2.95,-4.455,10.51,1.12,0.08,-272.6283613858571
1678926467.2688408,0.4499995708465576,-14.0,-13.890493740205537,-5.701613999450643,24.0,-2.95,-4.455,10.51,1.12,0.08,-272.6283613858571
1678926467.3188558,0.4999995231628418,-14.0,-13.890493740205537,-5.836618119449426,24.0,-2.95,-4.455,10.51,1.12,0.08,-272.6283613858571
1678926467.3691819,0.549999475479126,-14.0,-14.140657599658057,-7.48666847499008,23.9,-2.31,-4.931,7.41,0.699,0.08,-56.830584662866016
1678926467.4188657,0.5999994277954102,-14.0,-14.140657599658057,-8.041685412762813,23.9,-2.31,-4.931,7.41,0.699,0.08,-56.830584662866016
1678926467.468868,0.6499993801116943,-14.0,-13.95623447536399,-7.446667254249687,23.9,-2.29,-4.944,7.36,0.711,0.07,-139.5618123675759
1678926467.5194798,0.6999993324279785,-14.0,-13.870131565598937,-6.3816347520370975,23.9,-2.31,-4.919,7.43,0.741,-0.05,-277.9210616370693
1678926467.5678554,0.7499992847442627,-14.0,-13.870131565598937,-6.646642839442104,23.9,-2.31,-4.919,7.43,0.741,-0.05,-277.9210616370693
1678926467.6177983,0.7999992370605469,-14.0,-13.870131565598937,-7.221660387585054,23.9,-2.31,-4.919,7.43,0.741,-0.05,-277.9210616370693
1678926467.6678083,0.849999189376831,-14.0,-13.870131565598937,-7.561670763878289,23.9,-2.31,-4.919,7.43,0.741,-0.05,-277.9210616370693
1678926467.7177994,0.8999991416931152,-14.0,-14.006267247254494,-7.356664507583837,23.9,-2.31,-4.934,7.42,0.702,0.07,-70.52643154899386
1678926467.7677772,0.9499990940093994,-14.0,-13.909692361977475,-6.806647722403607,23.9,-2.26,-4.943,7.25,0.678,0.0,-278.43442263599974
1678926467.8180265,0.9999990463256836,-14.0,-13.949834934773344,-5.511608200933864,23.9,-2.27,-4.927,7.27,0.697,-0.1,-279.2659570826611
1678926467.8678257,1.0499989986419678,-14.0,-14.082479957924914,-5.481607285378569,24.0,-2.26,-4.938,7.23,0.675,-0.02,-281.54917783232895
1678926467.9177577,1.099998950958252,-14.0,-14.082479957924914,-6.7966474172185265,24.0,-2.26,-4.938,7.23,0.675,-0.02,-281.54917783232895
1678926467.9678664,1.1499989032745361,-14.0,-14.051064031389016,-7.811678393505642,24.0,-2.25,-4.966,7.2,0.673,0.1,-140.51479447975782
1678926468.0177941,1.1999988555908203,-14.0,-13.87536755335492,-7.246661150547791,24.0,-2.29,-4.939,7.36,0.706,0.02,-277.5433483580689
1678926468.0679069,1.2499988079071045,-14.0,-13.828243663551072,-6.066625138706598,24.0,-2.25,-4.934,7.21,0.681,-0.09,-277.0790905621228
1678926468.1181386,1.2999987602233887,-14.0,-13.91143769122947,-5.826617814264345,24.0,-2.25,-4.933,7.19,0.67,-0.11,-272.5776932682179
1678926468.1679142,1.3499987125396729,-14.0,-13.91143769122947,-6.776646806848348,24.0,-2.25,-4.933,7.19,0.67,-0.11,-272.5776932682179
1678926468.2177558,1.399998664855957,-14.0,-13.91143769122947,-8.081686633503207,24.0,-2.25,-4.933,7.19,0.67,-0.11,-272.5776932682179
1678926468.2696779,1.4499986171722412,-14.0,-14.037683173790391,-7.971683276467161,23.9,-2.26,-4.961,7.22,0.656,0.07,-93.78902389484391
