timestamp (epoch),loop time (s),des velocity,velocity (Rad/S),Futek Torque (Nm),v_bus,i_bus,v_q,i_q,v_d,i_d,accel
1679068103.1911135,0.04999995231628418,-14.0,0.0005817764173314432,-0.032160981475239936,25.0,0.0,0.002,0.0,0.003,0.0,0.9748889949336561
1679068103.24127,0.09999990463256836,-14.0,0.0005817764173314432,-11.677516369518095,25.0,0.0,0.002,0.0,0.003,0.0,0.9748889949336561
1679068103.291067,0.14999985694885254,-14.0,-5.802056210046483,-15.177623184301261,25.1,-0.16,-0.514,7.43,0.14,-2.01,-14.244482668815317
1679068103.3409703,0.19999980926513672,-14.0,-5.802056210046483,-7.1973796465956505,25.1,-0.16,-0.514,7.43,0.14,-2.01,-14.244482668815317
1679068103.3909678,0.2499997615814209,-14.0,-5.802056210046483,-17.04768025391399,25.1,-0.16,-0.514,7.43,0.14,-2.01,-14.244482668815317
1679068103.4410102,0.2999997138977051,-14.0,-13.970197109379944,-19.512755482039843,25.4,-4.05,-3.19,21.69,2.714,-0.48,-93.19102306372133
1679068103.4930985,0.34999966621398926,-14.0,-13.52921058504271,-14.797611587267683,25.4,-4.09,-3.16,21.7,2.823,-0.87,-270.7858983564866
1679068103.543819,0.39999961853027344,-14.0,-13.546663877562654,-17.6076973442793,25.4,-4.12,-3.194,21.66,2.824,-0.65,-257.2605688116804
1679068103.592557,0.4499995708465576,-14.0,-13.971360662214607,-15.017618301339741,25.4,-4.16,-3.248,21.17,2.767,-0.59,-279.66218179417376
1679068103.6430697,0.4999995231628418,-14.0,-13.728178119770064,-9.632453959166227,25.4,-4.03,-3.301,21.19,2.734,-0.48,-280.9953024447408
1679068103.6929026,0.549999475479126,-14.0,-13.728178119770064,-19.18774556352428,25.4,-4.03,-3.301,21.19,2.734,-0.48,-280.9953024447408
1679068103.7430649,0.5999994277954102,-14.0,-14.295991903085552,-20.14777486129338,25.5,-4.02,-3.291,21.23,2.72,-0.61,-142.91133133704827
1679068103.7943726,0.6499993801116943,-14.0,-14.295991903085552,-9.037435800653082,25.5,-4.02,-3.291,21.23,2.72,-0.61,-142.91133133704827
1679068103.8428016,0.6999993324279785,-14.0,-14.295991903085552,-18.00270939909053,25.5,-4.02,-3.291,21.23,2.72,-0.61,-142.91133133704827
1679068103.8929715,0.7499992847442627,-14.0,-14.295991903085552,-12.702547650990326,25.4,-4.09,-3.273,20.72,2.699,-0.62,-95.38538975969709
1679068103.9430044,0.7999992370605469,-14.0,-13.811953923865792,-9.11243808954131,25.3,-3.96,-3.225,21.26,2.689,-1.16,-276.4317890083265
1679068103.9927664,0.849999189376831,-14.0,-14.062117783318312,-18.197715350199886,25.4,-3.99,-3.174,21.25,2.689,-1.18,-275.3461474797304
1679068104.0432067,0.8999991416931152,-14.0,-14.273884399226958,-20.592788442030088,25.5,-4.01,-3.283,20.94,2.693,-0.69,-291.90725529125496
1679068104.0935538,0.9499990940093994,-14.0,-13.746794965124671,-11.252503399151568,25.4,-4.01,-3.236,21.23,2.749,-0.81,-274.70038404631964
1679068104.1431787,0.9999990463256836,-14.0,-13.746794965124671,-10.607483714712966,25.4,-4.01,-3.236,21.23,2.749,-0.81,-274.70038404631964
1679068104.1945615,1.0499989986419678,-12.526315789473685,-13.746794965124671,-20.33278050721762,25.4,-4.01,-3.236,21.23,2.749,-0.81,-274.70038404631964
1679068104.2426744,1.099998950958252,-12.526315789473685,-14.327989606038782,-20.01777089388712,25.4,-4.06,-3.296,21.07,2.735,-0.26,-94.25705856811652
1679068104.2924674,1.1499989032745361,-12.526315789473685,-12.555898638847207,-9.747457468794813,25.4,-3.24,-2.205,21.74,2.479,-4.23,-261.9606331460263
1679068104.3426785,1.1999988555908203,-12.526315789473685,-12.555898638847207,-19.37775136204106,25.4,-3.24,-2.205,21.74,2.479,-4.23,-261.9606331460263
1679068104.3923056,1.2499988079071045,-12.526315789473685,-12.555898638847207,-16.89267552354501,25.4,-3.24,-2.205,21.74,2.479,-4.23,-261.9606331460263
1679068104.4426165,1.2999987602233887,-12.526315789473685,-12.749048409401246,-13.367567945799125,25.5,-3.26,-2.682,20.29,2.36,-1.33,-85.03928820839633
1679068104.4926686,1.3499987125396729,-12.526315789473685,-12.58964167105243,-20.852796376842548,25.4,-3.25,-2.285,22.64,2.649,-2.2,-251.35320693568175
1679068104.542862,1.399998664855957,-12.526315789473685,-12.365657750379825,-12.387538037659827,25.4,-3.21,-2.363,22.27,2.675,-1.62,-247.71618140289195
1679068104.5927284,1.4499986171722412,-12.526315789473685,-12.365657750379825,-12.152530865810114,25.4,-3.21,-2.363,22.27,2.675,-1.62,-247.71618140289195
1679068104.6425543,1.4999985694885254,-12.526315789473685,-12.365657750379825,-17.327688799096652,25.4,-3.21,-2.363,22.27,2.675,-1.62,-247.71618140289195
1679068104.692571,1.5499985218048096,-12.526315789473685,-12.604767857903047,-14.062589156163199,25.4,-3.21,-2.341,22.54,2.682,-1.41,-84.00823147049393
1679068104.7428749,1.5999984741210938,-12.526315789473685,-12.749630185818576,-21.597819113132115,25.4,-3.27,-2.622,20.67,2.534,-1.04,-254.82516278966514
1679068104.7935002,1.649998426437378,-12.526315789473685,-12.568697720028497,-8.092406960661638,25.4,-3.3,-2.415,22.09,2.589,-1.75,-247.1052467066646
1679068104.843248,1.699998378753662,-12.526315789473685,-12.568697720028497,-18.00770955168309,25.4,-3.3,-2.415,22.09,2.589,-1.75,-247.1052467066646
1679068104.8923285,1.7499983310699463,-12.526315789473685,-12.195779036519044,-14.497602431714823,25.3,-3.24,-2.048,23.34,2.662,-3.69,-121.88525732936515
1679068104.9429815,1.7999982833862305,-12.526315789473685,-12.882275208970146,-10.56748249397259,25.5,-3.24,-2.556,20.46,2.37,-1.57,-262.7973115215867
