timestamp (epoch),loop time (s),des velocity,velocityM (Rad/S),Futek Torque (Nm),v_busM,i_busM,v_qM,i_qM,v_dM,i_dM,accelM,velocityL (Rad/S),v_busL,i_busL,v_qL,i_qL,v_dL,i_dL,accelL
1682008731.0998313,1682008731,0.1,0.0,0.024630751670908783,24.5,0.0,0.008,0.0,-0.002,0.0,0.0,0.012217304763960306,25.3,0.0,-0.002,0.0,0.006,0.0,6.302187952367207
1682008731.1063392,1682008731,0.1,0.0,-0.0003700112918458842,24.5,0.0,0.008,0.0,-0.002,0.0,0.0,0.012217304763960306,25.3,0.0,-0.002,0.0,0.006,0.0,6.302187952367207
1682008731.1141357,1682008731,0.1,0.0,0.039631209448547366,24.5,0.0,0.008,0.0,-0.002,0.0,0.0,0.011635528346628864,25.3,0.0,-0.071,0.03,-0.003,0.01,0.09805872134794245
1682008731.1226268,1682008731,0.1,0.04479678413452112,-0.03037092684712306,24.5,0.0,0.081,0.23,0.003,-0.01,0.3511331169548841,0.004654211338651545,25.2,0.0,-0.062,0.09,-0.008,0.0,0.5587057021909425
1682008731.1291513,1682008731,0.1,0.04479678413452112,0.004630141300712154,24.5,0.0,0.081,0.23,0.003,-0.01,0.3511331169548841,0.004654211338651545,25.2,0.0,-0.062,0.09,-0.008,0.0,0.5587057021909425
1682008731.1360872,1682008731,0.1,0.030252373701235045,0.024630751670908783,24.5,0.0,0.217,0.52,0.007,0.0,2.1522797392008304,0.004654211338651545,25.2,0.0,-0.062,0.09,-0.008,0.0,0.5587057021909425
1682008731.1444824,1682008731,0.1,0.030252373701235045,0.029630904263449054,24.5,0.0,0.217,0.52,0.007,0.0,2.1522797392008304,0.002908882086657216,25.3,0.0,-0.062,0.09,-0.012,0.0,0.12378616490564114
1682008731.1521068,1682008731,0.1,0.03257947937056082,0.004630141300712154,24.4,0.01,0.275,0.67,0.003,0.0,2.0208855725082184,0.002908882086657216,25.3,0.0,-0.062,0.09,-0.012,0.0,0.12378616490564114
1682008731.1579483,1682008731,0.1,0.03257947937056082,-0.010370316476926433,24.4,0.01,0.275,0.67,0.003,0.0,2.0208855725082184,0.0011635528346628863,25.3,0.0,-0.062,0.1,-0.005,-0.01,0.09204629024213283
1682008731.16475,1682008731,0.1,0.11286462496229997,-0.025370774254565024,24.4,0.0,0.172,0.36,-0.011,-0.02,8.81296747533975,0.0011635528346628863,25.3,0.0,-0.062,0.1,-0.005,-0.01,0.09204629024213283
1682008731.1703095,1682008731,0.1,0.11286462496229997,-0.05537168980985996,24.4,0.0,0.172,0.36,-0.011,-0.02,8.81296747533975,0.0011635528346628863,25.3,0.0,-0.062,0.1,-0.005,-0.01,0.09204629024213283
1682008731.1771953,1682008731,0.1,0.1105375192929742,-0.05537168980985996,24.5,0.0,0.055,0.1,0.042,-0.04,9.565058680873076,-0.0005817764173314432,25.2,0.0,-0.062,0.1,-0.013,0.0,-0.02923452286288088
1682008731.184293,1682008731,0.1,0.1105375192929742,-0.0003700112918458842,24.5,0.0,0.055,0.1,0.042,-0.04,9.565058680873076,-0.0005817764173314432,25.2,0.0,-0.062,0.1,-0.013,0.0,-0.02923452286288088
1682008731.1905334,1682008731,0.1,0.1105375192929742,-0.06037184240238247,24.5,0.0,0.055,0.1,0.042,-0.04,9.565058680873076,0.0,25.3,0.0,-0.065,0.1,-0.02,0.0,0.0
1682008731.1981924,1682008731,0.1,0.06283185307179587,-0.07037214758749855,24.5,0.0,0.092,0.26,0.021,-0.04,3.0163546872053666,0.0,25.2,0.0,-0.059,0.08,-0.009,-0.02,0.0
1682008731.207644,1682008731,0.1,0.04479678413452112,-0.17037519943844615,24.5,0.01,0.238,0.65,0.039,-0.04,5.1879319347974295,0.0,25.2,0.0,-0.059,0.08,-0.009,-0.02,0.0
1682008731.215224,1682008731,0.1,0.038979019961206694,-0.23537718314154077,24.5,0.01,0.268,0.77,0.045,-0.02,4.519540535726463,0.0,25.2,0.0,-0.059,0.08,-0.009,-0.02,0.0
