loop time,Output Velocity D1,Futek Torque,V_BUS D1,I_Bus D1,V_q D1,I_q D1,Output Velocity D2,V_BUS D2,I_Bus D2,V_q D2,I_q D2,max_velocity,max_current
0.0009338855743408203,0.9535315480062353,-1780.597749999695,24.4,0.18,1.03,2.76,-0.9616764178488756,24.3,0.0,-0.149,1.05,1,1
0.0056018829345703125,0.9535315480062353,-1780.597749999695,24.4,0.18,1.03,2.76,-0.9616764178488756,24.3,0.0,-0.149,1.05,1,1
0.010934829711914062,0.9535315480062353,-1780.597749999695,24.4,0.18,1.03,2.76,-0.9616764178488756,24.3,0.0,-0.149,1.05,1,1
0.015591144561767578,0.9535315480062353,-1780.597749999695,24.4,0.18,1.03,2.76,-0.9925105679674421,24.3,0.0,-0.138,0.9,1,1
0.020930767059326172,0.9901834622981163,-1780.597749999695,24.4,0.15,0.989,2.38,-0.962258194266207,24.2,0.0,-0.111,0.95,1,1
0.02562570571899414,1.0058914255660651,-1780.597749999695,24.5,0.14,0.964,2.23,-0.9779661575341559,24.3,0.0,-0.124,1.05,1,1
0.03095865249633789,0.9942558972194364,-1780.597749999695,24.4,0.14,0.979,2.28,-0.9779661575341559,24.3,0.0,-0.124,1.05,1,1
0.03561735153198242,1.0099638604873853,-1780.597749999695,24.4,0.13,0.956,2.14,-0.9919287915501106,24.3,0.0,-0.144,1.01,1,1
0.040941715240478516,1.0099638604873853,-1780.597749999695,24.4,0.13,0.956,2.14,-0.9919287915501106,24.3,0.0,-0.144,1.01,1,1
0.04559469223022461,1.0099638604873853,-1780.597749999695,24.4,0.13,0.956,2.14,-0.9919287915501106,24.3,0.0,-0.144,1.01,1,1
0.05079913139343262,0.9989101085580879,-1780.597749999695,24.4,0.12,0.947,2.06,-0.9919287915501106,24.3,0.0,-0.144,1.01,1,1
0.055593013763427734,1.0099638604873853,-1780.597749999695,24.5,0.13,0.956,2.1,-1.0314895879286488,24.3,0.0,-0.134,0.96,1,1
0.06094241142272949,1.0099638604873853,-1780.597749999695,24.5,0.13,0.956,2.1,-1.0157816246606997,24.3,0.0,-0.122,0.97,1,1
0.06560087203979492,0.9989101085580879,-1780.597749999695,24.4,0.15,0.98,2.35,-1.0181087303300256,24.2,0.0,-0.133,1.04,1,1
0.07079505920410156,0.9989101085580879,-1780.597749999695,24.4,0.15,0.98,2.35,-1.0163634010780311,24.3,0.0,-0.145,1.02,1,1
0.0755929946899414,0.9989101085580879,-1780.597749999695,24.4,0.15,0.98,2.35,-1.0163634010780311,24.3,0.0,-0.145,1.02,1,1
0.08095979690551758,0.9989101085580879,-1780.597749999695,24.4,0.15,0.98,2.35,-1.0163634010780311,24.3,0.0,-0.145,1.02,1,1
0.08564543724060059,1.0105456369047168,-1780.597749999695,24.4,0.1,0.914,1.76,-1.0163634010780311,24.3,0.0,-0.145,1.02,1,1
0.09096503257751465,0.9965830028887621,-1780.597749999695,24.3,0.11,0.937,1.9,-1.0076367548180596,24.3,0.0,-0.108,0.91,1,1
0.0956735610961914,0.9884381330461219,-1780.597749999695,24.4,0.16,1.0,2.48,-0.9709848405261786,24.3,0.0,-0.089,0.97,1,1
0.10094547271728516,0.9936741208021049,-1780.597749999695,24.4,0.16,0.995,2.53,-0.9610946414315441,24.3,0.0,-0.098,1.03,1,1
0.10560107231140137,0.9936741208021049,-1780.597749999695,24.4,0.16,0.995,2.53,-0.9890199094634534,24.3,0.0,-0.133,1.11,1,1
