timestamp (epoch),loop time (s),des velocity,velocity (Rad/S),Futek Torque (Nm),v_bus,i_bus,v_q,i_q,v_d,i_d,accel
1679068794.6471024,0.04999995231628418,-14.0,0.0,-0.02064062990202231,0,0,0,0,0,0,0.0
1679068794.6971498,0.09999990463256836,-14.0,0.0,-6.82084815576646,0,0,0,0,0,0,0.0
1679068794.7471163,0.14999985694885254,-14.0,0.0,-18.66620964751121,0,0,0,0,0,0,0.0
1679068794.7972093,0.19999980926513672,-14.0,0.0,-8.565901410565502,0,0,0,0,0,0,0.0
1679068794.8465118,0.2499997615814209,-14.0,-14.027792974695757,-16.036129383831277,25.1,-3.38,-3.421,17.02,1.822,-0.31,-26.102288059395363
1679068794.8963206,0.2999997138977051,-14.0,-14.04873692571969,-12.94103492904446,25.2,-3.96,-3.449,19.64,2.436,-0.16,-280.9441945784445
1679068794.94634,0.34999966621398926,-14.0,-14.002194812333174,-17.93118721640674,25.1,-3.93,-3.408,19.78,2.546,-0.28,-280.01345349983444
1679068794.996081,0.39999961853027344,-14.0,-13.98474151981323,-18.32619927121799,25.1,-3.9,-3.483,19.47,2.551,0.01,-280.49760799329897
1679068795.046167,0.4499995708465576,-14.0,-13.98474151981323,-8.565901410565502,25.1,-3.9,-3.483,19.47,2.551,0.01,-280.49760799329897
1679068795.0963264,0.4999995231628418,-14.0,-13.98474151981323,-14.261075213476957,25.1,-3.9,-3.483,19.47,2.551,0.01,-280.49760799329897
1679068795.1464229,0.549999475479126,-14.0,-14.19825346497387,-13.02603752311775,25.2,-4.01,-3.56,19.16,2.51,0.14,-94.62052242487192
1679068795.1963,0.5999994277954102,-14.0,-14.069680876743622,-17.391170736411627,25.2,-3.99,-3.465,19.68,2.562,-0.03,-281.68266720787244
1679068795.246323,0.6499993801116943,-14.0,-14.069680876743622,-19.64123940305795,25.2,-3.99,-3.465,19.68,2.562,-0.03,-281.68266720787244
1679068795.2962542,0.6999993324279785,-14.0,-13.66185560819428,-11.490990677205719,25.2,-3.9,-3.492,19.26,2.532,-0.12,-136.6271557373599
1679068795.3464062,0.7499992847442627,-14.0,-13.66185560819428,-11.680996475722516,25.2,-3.9,-3.492,19.26,2.532,-0.12,-136.6271557373599
1679068795.3961792,0.7999992370605469,-14.0,-13.66185560819428,-11.610994339426863,25.2,-3.9,-3.492,19.26,2.532,-0.12,-136.6271557373599
1679068795.4462924,0.849999189376831,-14.0,-14.273302622809627,-16.181133809015158,25.2,-4.04,-3.504,19.5,2.557,0.14,-95.15619780026849
1679068795.4964173,0.8999991416931152,-14.0,-14.10924167312216,-18.89121651417584,25.2,-4.03,-3.493,19.64,2.584,0.18,-282.2712450049986
1679068795.5476918,0.9499990940093994,-14.0,-14.10924167312216,-15.156102527542945,25.2,-4.03,-3.493,19.64,2.584,0.18,-282.2712450049986
1679068795.5980117,0.9999990463256836,-14.0,-14.10924167312216,-12.221012955717647,25.2,-4.03,-3.493,19.64,2.584,0.18,-282.2712450049986
1679068795.6485872,1.0499989986419678,-12.526315789473685,-13.707234168746131,-11.550992508316291,25.2,-4.01,-3.44,19.4,2.548,-0.2,-90.49218137832301
1679068795.6974285,1.099998950958252,-12.526315789473685,-14.031865409617078,-21.831306238593697,25.2,-4.01,-3.474,19.19,2.517,0.0,-274.42069705696264
1679068795.7475975,1.1499989032745361,-12.526315789473685,-12.69843386109341,-10.395957259437836,25.1,-3.32,-2.247,22.08,2.563,-3.28,-259.52283051118775
1679068795.7978048,1.1999988555908203,-12.526315789473685,-12.69843386109341,-18.00618950529497,25.1,-3.32,-2.247,22.08,2.563,-3.28,-259.52283051118775
1679068795.8478196,1.2499988079071045,-12.526315789473685,-12.69843386109341,-15.886124806054855,25.1,-3.32,-2.247,22.08,2.563,-3.28,-259.52283051118775
1679068795.897492,1.2999987602233887,-12.526315789473685,-12.924744887435342,-9.720936659443957,25.1,-3.11,-2.606,19.11,2.149,-2.33,-86.26898580070817
1679068795.94779,1.3499987125396729,-12.526315789473685,-12.414526969435666,-20.466264580828266,25.1,-3.18,-2.438,21.27,2.484,-2.24,-248.23751013544953
1679068795.9976614,1.399998664855957,-12.526315789473685,-12.4244171685303,-16.101131367534407,25.2,-3.22,-2.485,21.52,2.564,-1.11,-248.4364562552039
1679068796.0476563,1.4499986171722412,-12.526315789473685,-12.57335193136715,-13.661056902371287,25.2,-3.32,-2.603,20.48,2.51,-0.75,-251.44210006456194
1679068796.0977051,1.4999985694885254,-12.526315789473685,-12.57335193136715,-9.55593162388988,25.2,-3.32,-2.603,20.48,2.51,-0.75,-251.44210006456194
1679068796.147809,1.5499985218048096,-12.526315789473685,-12.802571839795737,-17.746181570482484,25.1,-3.3,-2.656,20.78,2.487,-0.49,-128.17955939326572
1679068796.1972165,1.5999984741210938,-12.526315789473685,-12.159708898644494,-16.64614800012206,25.1,-3.1,-2.362,22.45,2.751,-1.2,-242.20579126479998
1679068796.247114,1.649998426437378,-12.526315789473685,-12.159708898644494,-9.330924757225247,25.1,-3.1,-2.362,22.45,2.751,-1.2,-242.20579126479998
1679068796.2976243,1.699998378753662,-12.526315789473685,-12.159708898644494,-20.99128060304573,25.1,-3.1,-2.362,22.45,2.751,-1.2,-242.20579126479998
1679068796.3477983,1.7499983310699463,-12.526315789473685,-12.405218546758363,-13.43605003570664,25.0,-3.16,-2.376,21.27,2.486,-2.23,-82.76889341084987
1679068796.3977156,1.7999982833862305,-12.526315789473685,-12.405218546758363,-18.241196677144664,25.0,-3.16,-2.376,21.27,2.486,-2.23,-82.76889341084987
1679068796.4479651,1.8499982357025146,-12.526315789473685,-12.22254075171629,-11.310985183874003,25.2,-3.23,-2.531,21.66,2.583,-0.95,-122.19959421405619
1679068796.4975698,1.8999981880187988,-12.526315789473685,-12.22254075171629,-13.971066363109214,25.2,-3.23,-2.531,21.66,2.583,-0.95,-122.19959421405619
1679068796.5478046,1.949998140335083,-12.526315789473685,-12.73508577538529,-21.361291894894247,25.2,-3.21,-2.483,20.9,2.54,-1.4,-127.45885869603681
1679068796.5976622,1.9999980926513672,-12.526315789473685,-12.73508577538529,-10.740967788323594,25.2,-3.21,-2.483,20.9,2.54,-1.4,-127.45885869603681
1679068796.6486547,2.0499980449676514,-11.052631578947368,-12.512847183964679,-15.156102527542945,25.1,-3.24,-2.553,20.61,2.48,-1.19,-125.11397470455444
1679068796.6979914,2.0999979972839355,-11.052631578947368,-12.512847183964679,-15.806122364574104,25.1,-3.24,-2.553,20.61,2.48,-1.19,-125.11397470455444
1679068796.7476885,2.1499979496002197,-11.052631578947368,-11.876965559821413,-15.756120838648629,25.0,-1.04,-0.426,17.95,0.605,-19.04,-118.83039806548699
1679068796.7977343,2.199997901916504,-11.052631578947368,-11.876965559821413,-15.67611839716788,25.0,-1.04,-0.426,17.95,0.605,-19.04,-118.83039806548699
1679068796.847573,2.249997854232788,-11.052631578947368,-11.167780107094384,-15.566115040131818,24.8,-0.08,0.036,17.34,0.143,-23.13,-111.62547875686359
1679068796.8975456,2.2999978065490723,-11.052631578947368,-11.042698177368123,-15.911125569017608,24.9,-0.05,0.004,17.17,0.062,-22.74,-220.73313223146275
1679068796.9477258,2.3499977588653564,-11.052631578947368,-11.139273062645142,-15.606116260872211,24.9,-0.05,0.024,17.35,0.095,-22.76,-222.93556244450536
1679068796.9976377,2.3999977111816406,-11.052631578947368,-11.139273062645142,-15.301106952726826,24.9,-0.05,0.024,17.35,0.095,-22.76,-222.93556244450536
1679068797.047651,2.449997663497925,-11.052631578947368,-11.050843047210764,-15.8361232801294,24.9,-0.08,0.04,17.54,0.151,-22.91,-110.61481765205653
1679068797.0979848,2.499997615814209,-11.052631578947368,-11.08982206717197,-15.19610374828332,24.9,-0.05,0.003,17.45,0.096,-22.67,-216.88730430392172
1679068797.148605,2.549997568130493,-11.052631578947368,-11.08982206717197,-16.106131520126947,24.9,-0.05,0.003,17.45,0.096,-22.67,-216.88730430392172
1679068797.1973262,2.5999975204467773,-11.052631578947368,-11.109602465361238,-15.491112751243625,24.9,-0.05,0.019,17.63,0.111,-22.58,-111.03921185495956
1679068797.2478428,2.6499974727630615,-11.052631578947368,-11.063642128392054,-16.531144490493475,24.9,-0.07,0.032,17.43,0.133,-22.85,-225.9919275416065
1679068797.2973232,2.6999974250793457,-11.052631578947368,-11.063642128392054,-15.876124500869777,24.9,-0.07,0.032,17.43,0.133,-22.85,-225.9919275416065
1679068797.347752,2.74999737739563,-11.052631578947368,-11.096221607762615,-16.14613274086734,24.9,-0.07,0.02,17.41,0.107,-22.57,-111.02002489033036
1679068797.39771,2.799997329711914,-11.052631578947368,-11.078768315242671,-16.1761336564226,24.9,-0.05,0.022,17.67,0.105,-22.46,-221.54705428429023
1679068797.4477282,2.8499972820281982,-11.052631578947368,-11.078768315242671,-16.431141438642527,24.9,-0.05,0.022,17.67,0.105,-22.46,-221.54705428429023
1679068797.4979706,2.8999972343444824,-11.052631578947368,-11.078768315242671,-16.16613335123752,24.9,-0.05,0.022,17.67,0.105,-22.46,-221.54705428429023
1679068797.5477815,2.9499971866607666,-11.052631578947368,-11.078768315242671,-16.39114021790215,24.9,-0.05,0.022,17.67,0.105,-22.46,-221.54705428429023
1679068797.598001,2.999997138977051,-11.052631578947368,-11.100875819101267,-16.311137776421383,25.0,-0.05,0.019,17.76,0.114,-22.41,-55.25911701570374
