timestamp (epoch),loop time (s),des velocity,velocity (Rad/S),Futek Torque (Nm),v_bus,i_bus,v_q,i_q,v_d,i_d,accel
1679069022.6099737,0.04999995231628418,-14.0,-0.0040724349213201025,0.012060368053230519,24.7,0.0,0.005,0.0,-0.005,0.0,-0.22262955633481818
1679069022.6603122,0.09999990463256836,-14.0,0.0034906585039886587,-14.498382455519252,24.7,0.0,0.006,0.0,0.0,0.0,0.009352937709558744
1679069022.710091,0.14999985694885254,-14.0,0.0034906585039886587,-13.898364144413582,24.7,0.0,0.006,0.0,0.0,0.0,0.009352937709558744
1679069022.7603319,0.19999980926513672,-14.0,0.0034906585039886587,-11.83330112369152,24.7,0.0,0.006,0.0,0.0,0.0,0.009352937709558744
1679069022.810019,0.2499997615814209,-14.0,0.0034906585039886587,-21.1285847932371,24.7,0.0,0.006,0.0,0.0,0.0,0.009352937709558744
1679069022.860363,0.2999997138977051,-14.0,-13.708979497998127,-14.813392068849751,25.1,-3.9,-3.466,19.84,2.487,0.23,-68.61817324634266
1679069022.9096804,0.34999966621398926,-14.0,-13.767738916148602,-15.593415873287137,25.1,-3.96,-3.404,19.4,2.512,-0.4,-275.27759592207684
1679069022.9606748,0.39999961853027344,-14.0,-13.917837231820116,-8.553201022980428,25.2,-3.94,-3.54,18.92,2.47,0.03,-278.50043353882285
1679069023.0097845,0.4499995708465576,-14.0,-13.917837231820116,-12.55832324961089,25.2,-3.94,-3.54,18.92,2.47,0.03,-278.50043353882285
1679069023.0597835,0.4999995231628418,-14.0,-13.917837231820116,-17.758481945860165,25.2,-3.94,-3.54,18.92,2.47,0.03,-278.50043353882285
1679069023.1099815,0.549999475479126,-14.0,-14.113895884460812,-17.86848530289621,25.0,-4.01,-3.554,19.17,2.523,0.17,-94.06058529899822
1679069023.1593664,0.5999994277954102,-14.0,-14.113895884460812,-15.023398477736743,25.0,-4.01,-3.554,19.17,2.523,0.17,-94.06058529899822
1679069023.2096932,0.6499993801116943,-14.0,-13.72643279051807,-11.90830341257973,25.1,-4.01,-3.487,19.03,2.519,-0.26,-137.30472412576253
