loop time,Output Velocity D1,Futek Torque,V_BUS D1,I_Bus D1,V_q D1,I_q D1,Output Velocity D2,V_BUS D2,I_Bus D2,V_q D2,I_q D2,max_velocity,max_current
0.0009050369262695312,0.9704030641088472,0.03080093997009925,24.3,0.16,0.998,2.46,-0.9738937226128358,24.3,0.0,-0.155,1.0,1,1
0.006005287170410156,0.9704030641088472,0.03080093997009925,24.3,0.16,0.998,2.46,-0.9738937226128358,24.3,0.0,-0.155,1.0,1,1
0.011305570602416992,0.9704030641088472,0.03080093997009925,24.3,0.16,0.998,2.46,-0.9901834622981163,24.3,0.0,-0.124,0.97,1,1
0.015800952911376953,0.9704030641088472,0.03080093997009925,24.3,0.16,0.998,2.46,-0.9762208282821616,24.3,0.0,-0.13,1.04,1,1
0.020903587341308594,0.9704030641088472,0.03080093997009925,24.3,0.16,0.998,2.46,-1.0245082709206714,24.2,0.0,-0.171,1.08,1,1
0.02584362030029297,0.9832021452901389,0.03080093997009925,24.4,0.15,0.991,2.39,-1.0314895879286488,24.3,0.0,-0.17,0.96,1,1
0.030818700790405273,0.9832021452901389,0.03080093997009925,24.4,0.15,0.991,2.39,-1.0326531407633117,24.2,0.0,-0.149,0.94,1,1
0.03580808639526367,0.9989101085580879,0.03080093997009925,24.3,0.13,0.966,2.14,-1.0326531407633117,24.2,0.0,-0.149,0.94,1,1
0.04400467872619629,0.9989101085580879,0.03080093997009925,24.3,0.13,0.966,2.14,-1.0326531407633117,24.2,0.0,-0.149,0.94,1,1
0.04654288291931152,0.9989101085580879,0.03080093997009925,24.3,0.13,0.966,2.14,-1.0326531407633117,24.2,0.0,-0.149,0.94,1,1
0.05553388595581055,0.9989101085580879,0.03080093997009925,24.3,0.13,0.966,2.14,-1.0535970917872435,24.3,0.0,-0.173,1.02,1,1
0.06030392646789551,0.9989101085580879,0.03080093997009925,24.3,0.13,0.966,2.14,-1.0535970917872435,24.3,0.0,-0.173,1.02,1,1
0.06485843658447266,1.0093820840700538,0.03080093997009925,24.4,0.1,0.917,1.72,-1.0535970917872435,24.3,0.0,-0.173,1.02,1,1
0.06819891929626465,1.002982543479408,0.03080093997009925,24.3,0.13,0.952,2.14,-1.0535970917872435,24.3,0.0,-0.173,1.02,1,1
0.07447218894958496,0.9756390518648301,0.03080093997009925,24.3,0.15,0.992,2.37,-1.0535970917872435,24.3,0.0,-0.173,1.02,1,1
0.07678413391113281,0.9756390518648301,0.03080093997009925,24.3,0.15,0.992,2.37,-1.0535970917872435,24.3,0.0,-0.173,1.02,1,1
0.08235573768615723,0.9983283321407564,0.03080093997009925,24.3,0.14,0.962,2.18,-1.0140362954087054,24.3,0.0,-0.171,1.06,1,1
0.08641672134399414,1.0099638604873853,0.03080093997009925,24.4,0.13,0.948,2.09,-1.0140362954087054,24.3,0.0,-0.171,1.06,1,1
0.0911705493927002,1.0099638604873853,0.03080093997009925,24.4,0.13,0.948,2.09,-1.0140362954087054,24.3,0.0,-0.171,1.06,1,1
0.09631085395812988,1.0099638604873853,0.03080093997009925,24.4,0.13,0.948,2.09,-1.0140362954087054,24.3,0.0,-0.171,1.06,1,1
0.10133934020996094,1.0053096491487339,0.03080093997009925,24.4,0.12,0.943,2.05,-1.002982543479408,24.3,0.0,-0.131,0.96,1,1
0.10767364501953125,1.0053096491487339,0.03080093997009925,24.4,0.12,0.943,2.05,-0.9494591130849153,24.2,0.0,-0.102,0.99,1,1
0.1108560562133789,0.9837839217074704,0.03080093997009925,24.4,0.16,0.999,2.48,-0.9494591130849153,24.2,0.0,-0.102,0.99,1,1
0.11792635917663574,0.9901834622981163,0.03080093997009925,24.4,0.15,0.985,2.41,-0.9663306291875271,24.3,0.0,-0.151,1.1,1,1
0.1208500862121582,1.0210176124166828,0.03080093997009925,24.4,0.12,0.928,2.0,-0.9663306291875271,24.3,0.0,-0.151,1.1,1,1
0.12724661827087402,1.0024007670620765,0.03080093997009925,24.4,0.11,0.926,1.86,-0.9663306291875271,24.3,0.0,-0.151,1.1,1,1
0.13158917427062988,1.0024007670620765,0.03080093997009925,24.4,0.11,0.926,1.86,-0.9663306291875271,24.3,0.0,-0.151,1.1,1,1
0.13582754135131836,0.9814568160381446,0.03080093997009925,24.4,0.16,0.999,2.49,-0.9430595724942694,24.3,0.0,-0.112,0.91,1,1
0.1409130096435547,0.9814568160381446,0.03080093997009925,24.4,0.16,0.999,2.49,-0.9535315480062353,24.3,0.0,-0.118,1.04,1,1
