pi_time,voltage,test_duration
1682187336.9149234,2.265069124423963,0.004991054534912109
1682187336.9216475,2.2656941434980316,0.0034945011138916016
1682187336.9282498,2.2693192541276286,0.003893613815307617
1682187336.9347262,2.275569444868313,0.003436565399169922
1682187336.9402041,2.281444624164556,0.0036399364471435547
1682187336.947619,2.2753194372386853,0.0037505626678466797
1682187336.9545114,2.2665691702017274,0.0036618709564208984
1682187336.9611692,2.2749444257942444,0.0037050247192382812
1682187336.9674394,2.2753194372386853,0.0040607452392578125
1682187336.974162,2.2835696890163883,0.004302501678466797
1682187336.9808476,2.282569658497879,0.0033164024353027344
1682187336.9855998,2.276569475386822,0.0030574798583984375
1682187336.989909,2.277069490646077,0.0028171539306640625
1682187336.9949288,2.2824446546830655,0.0034627914428710938
1682187336.999123,2.2873198034607993,0.0028281211853027344
1682187337.0041702,2.293194982757042,0.0035223960876464844
1682187337.0090845,2.2884448377941218,0.003217458724975586
1682187337.0149007,2.27719449446089,0.0025565624237060547
1682187337.0202317,2.274694418164617,0.002968311309814453
1682187337.0262215,2.2739443952757346,0.0029413700103759766
1682187337.0318892,2.27719449446089,0.002832651138305664
1682187337.037333,2.281694631794183,0.003101825714111328
1682187337.0425065,2.2839447004608298,0.0035805702209472656
1682187337.047226,2.2796945707571643,0.003055095672607422
1682187337.05274,2.2720693380535297,0.003828763961791992
1682187337.057225,2.271569322794275,0.0029664039611816406
1682187337.0614336,2.275194433423872,0.00286102294921875
1682187337.0667543,2.2791945554979094,0.0035965442657470703
1682187337.0718408,2.2763194677571947,0.00275421142578125
1682187337.076393,2.275444441053499,0.0030944347381591797
1682187337.0807848,2.271569322794275,0.003031492233276367
1682187337.0862267,2.268944242683187,0.0033423900604248047
1682187337.0910342,2.265069124423963,0.0034296512603759766
1682187337.0956833,2.263694082461013,0.0033445358276367188
1682187337.1003835,2.2681942197943052,0.003405332565307617
1682187337.104792,2.2705692922757654,0.0030112266540527344
1682187337.1092446,2.2739443952757346,0.002851247787475586
1682187337.1138012,2.274694418164617,0.0030226707458496094
1682187337.1184862,2.277319498275704,0.0032684803009033203
1682187337.122728,2.2680692159794917,0.0028536319732666016
1682187337.1274185,2.2655691396832176,0.0029191970825195312
1682187337.13193,2.2659441511276586,0.0029952526092529297
1682187337.1374695,2.2649441206091496,0.0038614273071289062
1682187337.1430056,2.2669441816461684,0.0033316612243652344
1682187337.1478412,2.271194311349834,0.003381013870239258
1682187337.1523824,2.2721943418683432,0.003315448760986328
1682187337.157058,2.2698192693868835,0.003007650375366211
1682187337.161805,2.267944212164678,0.0033729076385498047
1682187337.1661687,2.269069246498001,0.002907276153564453
1682187337.172194,2.2781945249794,0.0028014183044433594
1682187337.1765718,2.281194616534928,0.0030641555786132812
1682187337.1813867,2.2870697958311714,0.0033795833587646484
1682187337.1863585,2.2845697195348977,0.0035538673400878906
1682187337.1907191,2.2763194677571947,0.0029456615447998047
