timestamp (epoch),loop time (s),des velocity,velocityM (Rad/S),Futek Torque (Nm),v_busM,i_busM,v_qM,i_qM,v_dM,i_dM,accelM,velocityL (Rad/S),v_busL,i_busL,v_qL,i_qL,v_dL,i_dL,accelL
1680728105.1822882,1680728105,-4.0,0.0069813170079773175,-0.04368133304851085,22.7,0.0,-0.005,0.0,0.003,0.0,0.03477314014324921,0.0,22.7,0.0,0.0,0.0,0.012,0.0,0.0
1680728105.1862886,1680728105,-4.0,0.0069813170079773175,-0.09368285897396689,22.7,0.0,-0.005,0.0,0.003,0.0,0.03477314014324921,0.0,22.7,0.0,0.0,0.0,0.012,0.0,0.0
1680728105.1908083,1680728105,-4.0,-0.0011635528346628863,-0.2136865211951111,22.6,0.0,-0.005,0.0,-0.002,0.0,-0.01083715121941217,-0.24318254244454324,22.6,0.97,-2.013,-8.19,-0.447,1.64,-2.1658647382448053
1680728105.1955273,1680728105,-4.0,-0.0011635528346628863,-3.45378540116581,22.6,0.0,-0.005,0.0,-0.002,0.0,-0.01083715121941217,-1.2397655453333054,22.6,1.67,-2.941,-11.2,-1.78,4.19,-299.76097226342677
1680728105.1997845,1680728105,-4.0,-0.531743645440939,-7.433906864833517,22.6,0.32,-1.174,-3.9,-0.002,-0.01,-58.951034785703285,-1.2397655453333054,22.6,1.67,-2.941,-11.2,-1.78,4.19,-299.76097226342677
1680728105.2043297,1680728105,-4.0,-0.531743645440939,-13.074078989226958,22.6,0.32,-1.174,-3.9,-0.002,-0.01,-58.951034785703285,-1.2397655453333054,22.6,1.67,-2.941,-11.2,-1.78,4.19,-299.76097226342677
1680728105.210128,1680728105,-4.0,-2.704678564173879,-13.27908524552141,22.6,0.47,0.403,14.94,0.597,-0.37,-199.9197116951353,-1.2397655453333054,22.6,1.67,-2.941,-11.2,-1.78,4.19,-299.76097226342677
1680728105.214859,1680728105,-4.0,-2.704678564173879,-11.524031685537288,22.6,0.47,0.403,14.94,0.597,-0.37,-199.9197116951353,-3.3405601883171467,22.4,3.45,-3.361,-14.26,-2.936,-0.81,-179.74298234938632
1680728105.2199047,1680728105,-4.0,-2.704678564173879,-9.09395752555925,22.6,0.47,0.403,14.94,0.597,-0.37,-199.9197116951353,-3.2695834654027105,22.4,3.22,-3.357,-14.0,-2.866,-0.09,-588.7698354487571
1680728105.2242286,1680728105,-4.0,-2.704678564173879,-6.99889358928191,22.6,0.47,0.403,14.94,0.597,-0.37,-199.9197116951353,-3.4161911225702344,22.5,2.98,-3.51,-13.45,-3.131,0.93,-648.5558362450017
1680728105.2291565,1680728105,-4.0,-2.704678564173879,-8.12892807519761,22.6,0.47,0.403,14.94,0.597,-0.37,-199.9197116951353,-3.7635116437171057,22.4,3.0,-3.761,-13.32,-3.662,1.54,-922.9017739294453
1680728105.2330322,1680728105,-4.0,-3.86997672808876,-10.934013679616683,22.7,-0.31,-0.413,8.33,0.267,-0.73,-192.69503383980245,-3.7635116437171057,22.4,3.0,-3.761,-13.32,-3.662,1.54,-922.9017739294453
1680728105.2368855,1680728105,-4.0,-3.9671333897831107,-11.804040230719952,22.6,-0.17,-0.125,10.25,0.054,-3.79,-885.9207456767576,-3.7635116437171057,22.4,3.0,-3.761,-13.32,-3.662,1.54,-922.9017739294453
1680728105.2408533,1680728105,-4.0,-4.0962877544306915,-15.414150402539144,22.7,-0.04,0.021,11.61,0.042,-5.9,-1046.0320312669508,-3.7635116437171057,22.4,3.0,-3.761,-13.32,-3.662,1.54,-922.9017739294453
1680728105.2467322,1680728105,-4.0,-4.443608275577563,-16.249175885494562,22.6,0.23,0.338,17.8,0.818,-4.81,-1591.2101054117709,-4.938118230309289,22.1,5.28,-5.676,-13.6,-0.192,0.23,-290.5352725646197
1680728105.2508774,1680728105,-4.0,-4.443608275577563,-18.339239669179364,22.6,0.23,0.338,17.8,0.818,-4.81,-1591.2101054117709,-4.938118230309289,22.1,5.28,-5.676,-13.6,-0.192,0.23,-290.5352725646197
1680728105.255306,1680728105,-4.0,-4.665265090580843,-18.584247146214175,22.6,1.19,0.854,23.36,1.403,-1.38,-680.5390752437517,-4.938118230309289,22.1,5.28,-5.676,-13.6,-0.192,0.23,-290.5352725646197
