loop time,Output Velocity D1,Futek Torque,V_BUS D1,I_Bus D1,V_q D1,I_q D1,V_d D1,I_d D1,Output Velocity D2,V_BUS D2,I_Bus D2,V_q D2,I_q D2,V_d D2,I_d D2,max_velocity,max_current
0.005000114440917969,0.9919287915501106,-1.0880032032227405,24.3,0.14,0.974,2.28,-0.025,0.04,-1.0076367548180596,24.2,0.0,-0.165,0.95,0.025,-0.02,1,1
0.010000228881835938,0.9919287915501106,-1.0530021350748875,24.3,0.14,0.974,2.28,-0.025,0.04,-0.9994918849754193,24.2,0.0,-0.134,0.95,0.021,0.02,1,1
0.015000343322753906,0.9919287915501106,-0.9479989306313996,24.3,0.14,0.974,2.28,-0.025,0.04,-0.9849474745421333,24.2,0.0,-0.123,1.03,0.0,0.0,1,1
0.020000457763671875,1.0157816246606997,-0.7729935898922413,24.3,0.12,0.94,1.98,-0.04,0.0,-1.0495246568659236,24.2,0.0,-0.173,1.06,0.012,-0.05,1,1
0.025000572204589844,1.0157816246606997,-0.9529990832239577,24.3,0.12,0.94,1.98,-0.04,0.0,-1.044870445527272,24.2,0.0,-0.164,0.94,0.061,-0.04,1,1
0.030000686645507812,0.9936741208021049,-1.0280013721121684,24.3,0.15,0.979,2.32,-0.06,-0.02,-1.044870445527272,24.2,0.0,-0.164,0.94,0.061,-0.04,1,1
0.03500080108642578,0.9826203688728075,-1.2280074758140636,24.3,0.15,0.991,2.36,-0.089,0.12,-1.044870445527272,24.2,0.0,-0.164,0.94,0.061,-0.04,1,1
0.04000091552734375,0.9913470151327791,-1.038001677297249,24.3,0.15,0.985,2.32,-0.089,-0.05,-0.9954194500540993,24.2,0.0,-0.118,1.02,0.056,0.0,1,1
0.04500102996826172,0.9913470151327791,-0.9229981676686627,24.3,0.15,0.985,2.32,-0.089,-0.05,-0.9954194500540993,24.2,0.0,-0.118,1.02,0.056,0.0,1,1
0.05000114440917969,1.0163634010780311,-0.7729935898922413,24.3,0.12,0.93,1.93,-0.074,-0.06,-0.9954194500540993,24.2,0.0,-0.118,1.02,0.056,0.0,1,1
0.055001258850097656,1.0157816246606997,-0.7429926743369641,24.3,0.11,0.93,1.93,-0.078,0.02,-1.0826859126538158,24.2,0.0,-0.181,0.95,0.135,-0.04,1,1
0.060001373291015625,1.0157816246606997,-0.8629963365580907,24.3,0.11,0.93,1.93,-0.078,0.02,-1.058251303125895,24.2,0.0,-0.139,0.89,0.138,0.0,1,1
0.0650014877319336,0.9960012264714307,-0.9930003039643331,24.3,0.12,0.952,2.07,-0.105,0.05,-1.0140362954087054,24.2,0.0,-0.107,0.93,0.117,0.07,1,1
0.07000160217285156,0.9954194500540993,-0.9479989306313996,24.3,0.14,0.968,2.22,-0.109,0.03,-1.0140362954087054,24.2,0.0,-0.107,0.93,0.117,0.07,1,1
