timestamp (epoch),loop time (s),des velocity,velocityM (Rad/S),Futek Torque (Nm),v_busM,i_busM,v_qM,i_qM,v_dM,i_dM,accelM,velocityL (Rad/S),v_busL,i_busL,v_qL,i_qL,v_dL,i_dL,accelL
1680728081.0659702,1680728081,-4.0,-0.0017453292519943294,-0.05071154759361818,22.6,0.0,0.002,0.0,-0.002,0.0,-1.012509192663461,0.0,22.8,0.0,-0.012,0.0,0.004,0.0,0.0
1680728081.0714765,1680728081,-4.0,-0.0017453292519943294,-0.010710326853242691,22.6,0.0,0.002,0.0,-0.002,0.0,-1.012509192663461,0.0069813170079773175,22.8,0.0,-0.02,0.0,-0.001,0.0,0.06343660481211136
1680728081.0779533,1680728081,-4.0,-0.15533430342749532,-0.37072131351663984,22.6,0.18,-0.899,-2.63,-0.006,0.03,-35.46262193572596,-0.4875286377237494,22.6,1.03,-2.132,-8.45,-0.612,2.2,-84.21924692418752
1680728081.0845687,1680728081,-4.0,-0.9261880563916575,-7.1459280764183575,22.7,0.16,-0.989,-1.91,-0.044,0.07,-159.17698298200182,-2.069960492865275,22.5,2.06,-3.345,-11.69,-2.338,3.52,-315.98644544572693
1680728081.0930943,1680728081,-4.0,-2.3870286403109113,-14.591155286721397,22.6,0.2,0.209,9.54,0.213,-1.05,-280.9102935992429,-3.2788918880800138,22.4,3.2,-3.831,-13.42,-3.258,1.27,-502.28887369399393
1680728081.0991025,1680728081,-4.0,-2.3870286403109113,-11.906073344523449,22.6,0.2,0.209,9.54,0.213,-1.05,-280.9102935992429,-3.2788918880800138,22.4,3.2,-3.831,-13.42,-3.258,1.27,-502.28887369399393
1680728081.1056812,1680728081,-4.0,-3.4900767275713274,-9.70600620380262,22.7,0.13,0.019,13.26,0.139,-2.94,-277.9328025737973,-3.544763710800483,22.4,3.44,-3.702,-13.79,-3.006,0.09,-249.11726502572483
1680728081.1120317,1680728081,-4.0,-3.4900767275713274,-9.571002083803819,22.7,0.13,0.019,13.26,0.139,-2.94,-277.9328025737973,-3.8513598827341538,22.4,3.3,-4.001,-13.3,-3.369,0.99,-529.90992525887
1680728081.1190948,1680728081,-4.0,-3.4900767275713274,-12.38608799340799,22.7,0.13,0.019,13.26,0.139,-2.94,-277.9328025737973,-4.585561721406435,22.4,4.22,-4.544,-12.13,-0.893,-6.38,-748.8121421195989
1680728081.1250637,1680728081,-4.0,-3.4900767275713274,-16.07120045411543,22.7,0.13,0.019,13.26,0.139,-2.94,-277.9328025737973,-4.585561721406435,22.4,4.22,-4.544,-12.13,-0.893,-6.38,-748.8121421195989
