timestamp (epoch),loop time (s),des current,velocityM (Rad/S),Futek Torque (Nm),v_busM,i_busM,v_qM,i_qM,v_dM,i_dM,accelM,velocityL (Rad/S),v_busL,i_busL,v_qL,i_qL,v_dL,i_dL,accelL
1682011472.640183,1682011472,12.0,-0.0040724349213201025,-0.004620140995523769,24.5,0.0,-0.001,0.0,-0.002,0.0,-2.0812757499978787,0.0011635528346628863,24.3,0.0,-0.001,0.0,0.009,0.0,0.0028684160061114047
1682011472.6446307,1682011472,12.0,-0.0040724349213201025,0.0003800115970342688,24.5,0.0,-0.001,0.0,-0.002,0.0,-2.0812757499978787,0.0,24.3,0.0,0.007,0.0,0.009,0.0,0.0
1682011472.6488771,1682011472,12.0,-0.004654211338651545,1.5554274678792623,24.5,0.0,0.0,0.0,-0.002,0.0,-0.04315178528540251,0.0,24.3,0.0,0.007,0.0,0.009,0.0,0.0
1682011472.6531389,1682011472,12.0,0.03490658503988659,6.715584943388161,24.5,0.05,0.682,1.28,-0.015,0.11,7.3197094920076236,1.4206980111233842,24.1,1.95,3.229,10.65,0.77,-1.47,166.39225262054214
1682011472.6576283,1682011472,12.0,0.03490658503988659,11.07071785149694,24.5,0.05,0.682,1.28,-0.015,0.11,7.3197094920076236,1.4206980111233842,24.1,1.95,3.229,10.65,0.77,-1.47,166.39225262054214
1682011472.6621058,1682011472,12.0,0.03490658503988659,16.385880057374802,24.5,0.05,0.682,1.28,-0.015,0.11,7.3197094920076236,3.3888476309556563,23.9,3.57,4.096,13.59,1.116,0.07,379.16763608471825
1682011472.6672306,1682011472,12.0,0.03490658503988659,12.710767901852476,24.5,0.05,0.682,1.28,-0.015,0.11,7.3197094920076236,3.3009993919386087,24.0,3.8,3.551,15.87,0.815,0.83,738.5786276328644
1682011472.6723094,1682011472,12.0,0.03490658503988659,11.205721971495706,24.5,0.05,0.682,1.28,-0.015,0.11,7.3197094920076236,3.0467630975647677,24.0,3.06,3.312,14.38,0.789,0.03,595.6488602203923
1682011472.677674,1682011472,12.0,0.03490658503988659,7.21060005005036,24.5,0.05,0.682,1.28,-0.015,0.11,7.3197094920076236,2.9530970943744053,24.0,2.87,3.394,13.58,0.82,-0.2,569.9253188847811
1682011472.6828833,1682011472,12.0,3.241658197370801,8.105627364116348,24.5,0.08,-0.003,-11.99,0.033,-1.53,106.21518755607138,3.5180019956032367,24.0,2.96,4.052,12.16,1.099,-0.74,583.5470158256204
1682011472.6879048,1682011472,12.0,3.241658197370801,9.020655288552515,24.5,0.08,-0.003,-11.99,0.033,-1.53,106.21518755607138,4.06370827506013,24.0,3.01,5.372,9.66,0.856,1.56,929.7129696676924
1682011472.6923113,1682011472,12.0,3.241658197370801,14.72082924405651,24.5,0.08,-0.003,-11.99,0.033,-1.53,106.21518755607138,4.06370827506013,24.0,3.01,5.372,9.66,0.856,1.56,929.7129696676924
1682011472.6973374,1682011472,12.0,4.852597096961567,13.780800556657608,24.6,-0.45,0.488,-12.64,0.39,-0.9,381.31156517178357,5.950990972883332,23.6,5.97,7.042,13.34,-0.307,0.81,643.0240678447188
1682011472.701911,1682011472,12.0,4.852597096961567,16.71088997589038,24.6,-0.45,0.488,-12.64,0.39,-0.9,381.31156517178357,5.950990972883332,23.6,5.97,7.042,13.34,-0.307,0.81,643.0240678447188
1682011472.7070796,1682011472,12.0,6.340199396078067,15.040839009979551,24.5,0.05,-0.194,-20.42,0.484,-9.97,670.1626392421517,5.950990972883332,23.6,5.97,7.042,13.34,-0.307,0.81,643.0240678447188
1682011472.7117965,1682011472,12.0,6.340199396078067,14.435820546281326,24.5,0.05,-0.194,-20.42,0.484,-9.97,670.1626392421517,5.950990972883332,23.6,5.97,7.042,13.34,-0.307,0.81,643.0240678447188
1682011472.7163086,1682011472,12.0,6.340199396078067,13.67579735221412,24.5,0.05,-0.194,-20.42,0.484,-9.97,670.1626392421517,5.950990972883332,23.6,5.97,7.042,13.34,-0.307,0.81,643.0240678447188
1682011472.720487,1682011472,12.0,7.315838447942898,14.465821461836601,24.6,-0.38,0.319,-18.3,0.241,-10.84,490.18116049075365,5.950990972883332,23.6,5.97,7.042,13.34,-0.307,0.81,643.0240678447188
1682011472.724996,1682011472,12.0,7.315838447942898,15.19084358775597,24.6,-0.38,0.319,-18.3,0.241,-10.84,490.18116049075365,5.950990972883332,23.6,5.97,7.042,13.34,-0.307,0.81,643.0240678447188
1682011472.72955,1682011472,12.0,7.883070454841055,13.97080635517442,24.6,-1.21,0.904,-19.92,1.053,-2.24,938.7579552261905,5.950990972883332,23.6,5.97,7.042,13.34,-0.307,0.81,643.0240678447188
1682011472.7342334,1682011472,12.0,7.883070454841055,12.235753405560459,24.6,-1.21,0.904,-19.92,1.053,-2.24,938.7579552261905,8.616108740678673,23.4,7.21,8.672,13.05,-0.571,-0.06,231.2425093131784
1682011472.7390878,1682011472,12.0,7.883070454841055,12.265754321115754,24.6,-1.21,0.904,-19.92,1.053,-2.24,938.7579552261905,8.616108740678673,23.4,7.21,8.672,13.05,-0.571,-0.06,231.2425093131784
1682011472.744063,1682011472,12.0,7.883070454841055,13.245784229255051,24.6,-1.21,0.904,-19.92,1.053,-2.24,938.7579552261905,9.86052849735063,23.3,7.73,9.864,12.33,-0.578,0.1,1007.5534525080816
1682011472.7486866,1682011472,12.0,9.82387658305875,16.0908710544145,24.7,-2.22,2.239,-15.19,0.983,-1.0,516.7075246768364,9.86052849735063,23.3,7.73,9.864,12.33,-0.578,0.1,1007.5534525080816
1682011472.7529085,1682011472,12.0,10.301515021687864,14.415819935911129,24.7,-2.47,1.802,-19.0,1.791,-2.43,2140.159773219352,9.86052849735063,23.3,7.73,9.864,12.33,-0.578,0.1,1007.5534525080816
1682011472.7575135,1682011472,12.0,10.619164945550832,11.365726854457225,24.8,-2.74,2.528,-20.57,1.894,0.81,2541.6574987322324,9.86052849735063,23.3,7.73,9.864,12.33,-0.578,0.1,1007.5534525080816
1682011472.7619298,1682011472,12.0,10.619164945550832,13.865803150730915,24.8,-2.74,2.528,-20.57,1.894,0.81,2541.6574987322324,9.86052849735063,23.3,7.73,9.864,12.33,-0.578,0.1,1007.5534525080816
1682011472.766224,1682011472,12.0,11.665198943912767,19.670980310678434,24.8,-2.95,2.525,-17.02,0.891,-0.46,1324.2229780028442,9.86052849735063,23.3,7.73,9.864,12.33,-0.578,0.1,1007.5534525080816
1682011472.7711058,1682011472,12.0,11.73850277249653,18.765952691427348,24.8,-2.62,1.203,-23.73,1.86,-4.76,2481.345082788695,9.86052849735063,23.3,7.73,9.864,12.33,-0.578,0.1,1007.5534525080816
1682011472.7760096,1682011472,12.0,11.698360199700659,15.82586296700949,24.7,-2.52,1.0,-27.35,2.219,-5.52,2639.827781731601,11.75537428859914,23.0,10.71,10.473,15.43,-1.19,-0.01,369.3830088189969
1682011472.7810643,1682011472,12.0,11.698360199700659,16.550885092928862,24.7,-2.52,1.0,-27.35,2.219,-5.52,2639.827781731601,11.59771287950232,23.1,9.52,10.413,13.98,-1.009,-0.55,2321.9252277493124
1682011472.785855,1682011472,12.0,11.698360199700659,15.755860830713821,24.7,-2.52,1.0,-27.35,2.219,-5.52,2639.827781731601,11.421434625050892,23.0,9.65,10.372,14.21,-0.96,0.01,2303.5664999802584
1682011472.7903476,1682011472,12.0,11.698360199700659,12.085748827784055,24.7,-2.52,1.0,-27.35,2.219,-5.52,2639.827781731601,11.421434625050892,23.0,9.65,10.372,14.21,-0.96,0.01,2303.5664999802584
1682011472.7950945,1682011472,12.0,11.698360199700659,14.535823598132271,24.7,-2.52,1.0,-27.35,2.219,-5.52,2639.827781731601,11.639600781550183,23.1,8.59,10.868,12.31,-0.77,-0.45,1263.6544006952183
1682011472.7999253,1682011472,12.0,11.6861428949367,15.605856252937416,24.8,-2.99,2.602,-18.21,1.364,0.05,483.73799309954575,11.954923599743825,23.1,9.62,11.214,13.23,-0.826,0.28,2465.584101593152
1682011472.8042905,1682011472,12.0,11.804825284072313,19.160964746238598,24.7,-3.08,2.279,-19.78,1.64,-1.15,2488.84215885622,11.954923599743825,23.1,9.62,11.214,13.23,-0.826,0.28,2465.584101593152
1682011472.8112204,1682011472,12.0,11.81995147092293,17.750921715140233,24.8,-2.69,1.04,-27.0,2.584,-6.04,2744.4901314381054,11.954923599743825,23.1,9.62,11.214,13.23,-0.826,0.28,2465.584101593152
1682011472.816125,1682011472,12.0,11.81995147092293,17.21090523514512,24.8,-2.69,1.04,-27.0,2.584,-6.04,2744.4901314381054,11.54128056702117,23.1,10.06,10.352,14.73,-1.09,-0.26,718.0437766610175
1682011472.8208551,1682011472,12.0,11.81995147092293,9.95068367076632,24.8,-2.69,1.04,-27.0,2.584,-6.04,2744.4901314381054,11.54128056702117,23.1,10.06,10.352,14.73,-1.09,-0.26,718.0437766610175
