timestamp (epoch),loop time (s),des velocity,velocityM (Rad/S),Futek Torque (Nm),v_busM,i_busM,v_qM,i_qM,v_dM,i_dM,accelM,velocityL (Rad/S),v_busL,i_busL,v_qL,i_qL,v_dL,i_dL,accelL
1680727215.031845,1680727215,-4.0,0.002908882086657216,0.06247190649130374,22.6,0.0,-0.007,0.0,-0.001,0.0,0.014208082014811272,-0.004654211338651545,22.9,0.0,-0.004,0.0,-0.008,0.0,-0.011472396348889989
1680727215.0363348,1680727215,-4.0,0.002908882086657216,-0.07253221350747907,22.6,0.0,-0.007,0.0,-0.001,0.0,0.014208082014811272,-0.004654211338651545,22.9,0.0,-0.004,0.0,-0.008,0.0,-0.011472396348889989
1680727215.0405703,1680727215,-4.0,0.002908882086657216,-1.0625624268318745,22.6,0.0,-0.007,0.0,-0.001,0.0,0.014208082014811272,-0.25132741228718347,22.8,0.95,-1.936,-8.13,-0.455,1.67,-2.2363209906905825
1680727215.0449076,1680727215,-4.0,0.002908882086657216,-0.08753267128513542,22.6,0.0,-0.007,0.0,-0.001,0.0,0.014208082014811272,-1.096066770252439,22.7,1.68,-2.704,-11.89,-1.747,3.87,-254.1454607074402
1680727215.0495672,1680727215,-4.0,0.002908882086657216,-6.372724480117195,22.6,0.0,-0.007,0.0,-0.001,0.0,0.014208082014811272,-1.096066770252439,22.7,1.68,-2.704,-11.89,-1.747,3.87,-254.1454607074402
1680727215.0545876,1680727215,-4.0,-1.36659280431156,-11.162870663777582,22.7,-0.02,-0.411,0.98,-0.017,-0.15,-11.340113374303483,-3.122975808235187,22.5,3.0,-3.533,-13.77,-3.541,1.34,-346.4259058047678
1680727215.0591123,1680727215,-4.0,-1.36659280431156,-12.182901792657237,22.7,-0.02,-0.411,0.98,-0.017,-0.15,-11.340113374303483,-3.4714598822167213,22.5,3.45,-3.421,-14.28,-3.45,-0.42,-680.5177635923127
1680727215.0636156,1680727215,-4.0,-1.36659280431156,-11.542882260811176,22.7,-0.02,-0.411,0.98,-0.017,-0.15,-11.340113374303483,-3.4726234350513843,22.5,3.4,-3.278,-14.44,-3.212,-0.64,-768.6547239500638
1680727215.0689416,1680727215,-4.0,-3.115412714809878,-9.407817103793441,22.7,0.39,0.29,15.39,0.41,-0.84,-197.98766665219068,-3.3876840781209934,22.5,3.19,-3.227,-14.03,-3.025,-0.53,-735.0738168442418
1680727215.0729744,1680727215,-4.0,-3.115412714809878,-7.122747368999286,22.7,0.39,0.29,15.39,0.41,-0.84,-197.98766665219068,-3.3876840781209934,22.5,3.19,-3.227,-14.03,-3.025,-0.53,-735.0738168442418
1680727215.0770829,1680727215,-4.0,-3.115412714809878,-7.052745232703632,22.7,0.39,0.29,15.39,0.41,-0.84,-197.98766665219068,-3.3876840781209934,22.5,3.19,-3.227,-14.03,-3.025,-0.53,-735.0738168442418
1680727215.0808635,1680727215,-4.0,-3.8629954110807825,-8.657794214911334,22.7,-0.34,-0.475,7.86,0.343,-0.82,-305.3863296267674,-3.3876840781209934,22.5,3.19,-3.227,-14.03,-3.025,-0.53,-735.0738168442418
1680727215.0846765,1680727215,-4.0,-3.9235001584832525,-10.817860134891806,22.7,-0.25,-0.263,9.2,0.155,-2.99,-1022.3876993493377,-3.3876840781209934,22.5,3.19,-3.227,-14.03,-3.025,-0.53,-735.0738168442418
1680727215.0888848,1680727215,-4.0,-3.9235001584832525,-12.567913542283387,22.7,-0.25,-0.263,9.2,0.155,-2.99,-1022.3876993493377,-4.732169378573959,22.3,3.75,-5.32,-10.84,-0.202,-0.8,-227.78365948896288
1680727215.0931215,1680727215,-4.0,-4.104432624273332,-15.032988770409245,22.7,-0.11,-0.03,11.43,0.029,-5.83,-530.4994660787073,-4.931136913301312,22.3,4.75,-5.704,-12.51,-0.143,0.0,-1204.6529955156007
1680727215.0973525,1680727215,-4.0,-4.323762333607285,-16.943047060762346,22.6,0.13,0.212,15.57,0.351,-7.04,-1089.1342052067967,-5.124868460272682,22.2,5.44,-5.868,-13.63,-0.218,0.26,-1176.4041310417883
1680727215.1015117,1680727215,-4.0,-4.5564729005398625,-18.103082462233342,22.7,0.35,0.409,19.76,0.953,-3.7,-1078.0861122934477,-5.16791991515521,22.1,5.75,-5.756,-14.47,-0.296,0.17,-1208.442168245256
1680727215.1058135,1680727215,-4.0,-4.5564729005398625,-18.75810245185706,22.7,0.35,0.409,19.76,0.953,-3.7,-1078.0861122934477,-5.048073973184932,22.2,5.66,-5.506,-14.82,-0.316,0.02,-1214.3356766474797
1680727215.1099176,1680727215,-4.0,-4.645484692391574,-17.828074069643236,22.5,2.01,1.109,26.51,1.417,-0.15,-532.831301335505,-4.760094646605868,22.2,5.45,-5.139,-15.19,-0.296,-0.08,-1129.0665620447649
1680727215.1143389,1680727215,-4.0,-4.645484692391574,-16.8330437037263,22.5,2.01,1.109,26.51,1.417,-0.15,-532.831301335505,-4.467461108688152,22.3,4.94,-4.887,-14.67,-0.239,-0.18,-1054.408305554845
1680727215.1191056,1680727215,-4.0,-4.4948046003027295,-15.828013032624282,22.5,1.79,1.008,25.04,1.36,-0.04,-481.1294639206855,-4.2504585050235235,22.2,4.68,-4.802,-14.23,-0.177,-0.18,-976.6470422621993
1680727215.123569,1680727215,-4.0,-4.4948046003027295,-15.167992890408044,22.5,1.79,1.008,25.04,1.36,-0.04,-481.1294639206855,-4.2504585050235235,22.2,4.68,-4.802,-14.23,-0.177,-0.18,-976.6470422621993
1680727215.1277843,1680727215,-4.0,-4.4948046003027295,-15.55300464003418,22.5,1.79,1.008,25.04,1.36,-0.04,-481.1294639206855,-4.2504585050235235,22.2,4.68,-4.802,-14.23,-0.177,-0.18,-976.6470422621993
1680727215.1329355,1680727215,-4.0,-4.4948046003027295,-15.683008607440401,22.5,1.79,1.008,25.04,1.36,-0.04,-481.1294639206855,-4.2987459476620336,22.3,4.75,-5.101,-13.73,-0.15,0.07,-323.8772646535415
1680727215.137318,1680727215,-4.0,-4.4948046003027295,-17.183054385204617,22.5,1.79,1.008,25.04,1.36,-0.04,-481.1294639206855,-4.406956361285682,22.3,4.86,-5.177,-13.78,-0.163,0.04,-895.8086020144414
