timestamp (epoch),loop time (s),des velocity,velocityM (Rad/S),Futek Torque (Nm),v_busM,i_busM,v_qM,i_qM,v_dM,i_dM,accelM,velocityL (Rad/S),v_busL,i_busL,v_qL,i_qL,v_dL,i_dL,accelL
1680549912.5184767,1680549912,-4.0,0.0,-0.016790512405755464,0,0,0,0,0,0,0.0,-0.005235987755982988,24.1,0.0,-0.012,0.0,-0.004,0.0,-0.16982681484789564
1680549912.525266,1680549912,-4.0,0.0,0.053211623889897204,0,0,0,0,0,0,0.0,-0.005235987755982988,24.1,0.0,-0.012,0.0,-0.004,0.0,-0.16982681484789564
1680549912.533449,1680549912,-4.0,-0.30019663134302466,-0.3768014990691704,24.0,0.25,-1.063,-3.38,0.016,-0.08,-68.41534077529742,-0.7056947942230406,24.1,1.13,-2.192,-9.36,-0.833,2.55,-1.332910554216589
1680549912.5404997,1680549912,-4.0,-0.30019663134302466,-9.15706945158238,24.0,0.25,-1.063,-3.38,0.016,-0.08,-68.41534077529742,-0.7056947942230406,24.1,1.13,-2.192,-9.36,-0.833,2.55,-1.332910554216589
1680549912.5481434,1680549912,-4.0,-2.978695256736989,-14.442230741904966,24.0,0.19,0.183,10.96,0.314,-1.88,-193.38369213084096,-0.7056947942230406,24.1,1.13,-2.192,-9.36,-0.833,2.55,-1.332910554216589
1680549912.554711,1680549912,-4.0,-2.978695256736989,-13.27219503524887,24.0,0.19,0.183,10.96,0.314,-1.88,-193.38369213084096,-0.7056947942230406,24.1,1.13,-2.192,-9.36,-0.833,2.55,-1.332910554216589
1680549912.5614524,1680549912,-4.0,-2.978695256736989,-13.547203427838978,24.0,0.19,0.183,10.96,0.314,-1.88,-193.38369213084096,-0.7056947942230406,24.1,1.13,-2.192,-9.36,-0.833,2.55,-1.332910554216589
1680549912.568803,1680549912,-4.0,-4.538437831602588,-16.977308106326472,24.0,0.3,0.374,18.09,0.848,-4.38,-218.59885106616974,-0.7056947942230406,24.1,1.13,-2.192,-9.36,-0.833,2.55,-1.332910554216589
1680549912.576498,1680549912,-4.0,-4.538437831602588,-18.042340608539078,24.0,0.3,0.374,18.09,0.848,-4.38,-218.59885106616974,-4.940445335978615,23.6,5.25,-5.611,-14.44,-0.263,0.2,-114.92407233443025
1680549912.58404,1680549912,-4.0,-4.538437831602588,-17.922336946317934,24.0,0.3,0.374,18.09,0.848,-4.38,-218.59885106616974,-4.564035993965172,23.7,4.94,-5.122,-14.81,-0.252,-0.11,-557.8434090695913
1680549912.5914404,1680549912,-4.0,-4.538437831602588,-15.012248137455373,24.0,0.3,0.374,18.09,0.848,-4.38,-218.59885106616974,-4.146320526321196,23.7,4.5,-4.77,-14.57,-0.183,-0.09,-568.4053068646587
1680549912.5993361,1680549912,-4.0,-4.105014400690663,-15.19725378337961,24.0,0.94,0.603,20.74,0.948,0.23,-136.33661409535705,-4.146320526321196,23.7,4.5,-4.77,-14.57,-0.183,-0.09,-568.4053068646587
1680549912.6062756,1680549912,-4.0,-4.105014400690663,-15.622266753746155,24.0,0.94,0.603,20.74,0.948,0.23,-136.33661409535705,-4.146320526321196,23.7,4.5,-4.77,-14.57,-0.183,-0.09,-568.4053068646587
1680549912.6137445,1680549912,-4.0,-4.105014400690663,-16.752301239661858,24.0,0.94,0.603,20.74,0.948,0.23,-136.33661409535705,-4.146320526321196,23.7,4.5,-4.77,-14.57,-0.183,-0.09,-568.4053068646587
1680549912.6220212,1680549912,-4.0,-4.2725660088821185,-15.83227316263313,23.9,1.25,0.844,22.45,1.334,-0.17,-190.72414539504368,-4.2108977086449855,23.7,4.53,-4.952,-14.19,-0.154,0.01,-140.75939512221956
1680549912.6307106,1680549912,-4.0,-4.116649929037292,-16.08728094485306,24.0,1.39,0.872,22.73,1.285,0.26,-505.9478203170753,-4.181808887778414,23.7,4.43,-4.924,-14.0,-0.143,0.0,-508.45830662234897
1680549912.6382818,1680549912,-4.0,-4.084070449666731,-16.592296356700338,23.9,1.33,0.873,22.6,1.199,0.05,-433.1950793647161,-4.181808887778414,23.7,4.43,-4.924,-14.0,-0.143,0.0,-508.45830662234897
1680549912.6468523,1680549912,-4.0,-4.124213022462601,-16.01227865596485,23.9,1.21,0.824,21.98,1.184,-0.01,-609.8647291273084,-4.069526039233445,23.7,4.38,-4.834,-14.08,-0.131,0.02,-253.93241906127815
1680549912.6537013,1680549912,-4.0,-4.124213022462601,-16.027279113742487,23.9,1.21,0.824,21.98,1.184,-0.01,-609.8647291273084,-4.096869530848022,23.7,4.33,-4.865,-13.89,-0.12,-0.01,-478.9963834730999
1680549912.6611693,1680549912,-4.0,-4.117813481871955,-16.102281402630698,23.9,1.4,0.915,22.51,1.387,0.03,-261.90555096321884,-4.128285457383921,23.7,4.39,-4.904,-13.97,-0.131,0.03,-606.7661003976315
1680549912.6684227,1680549912,-4.0,-4.131194339470578,-16.777302002624577,23.8,1.49,0.984,23.13,1.393,-0.02,-533.9419740792187,-4.128285457383921,23.7,4.39,-4.904,-13.97,-0.131,0.03,-606.7661003976315
1680549912.6748939,1680549912,-4.0,-4.131194339470578,-15.782271636707659,23.8,1.49,0.984,23.13,1.393,-0.02,-533.9419740792187,-4.103850847856,23.6,4.45,-4.859,-14.19,-0.144,0.02,-280.5031944880681
1680549912.6819441,1680549912,-4.0,-3.958988519940471,-16.612296967070517,23.9,1.54,0.956,23.19,1.126,0.19,-299.04733526285224,-4.03112879568957,23.7,4.3,-4.781,-14.03,-0.128,-0.03,-620.0821370989088
1680549912.6898577,1680549912,-4.0,-3.980514247381734,-15.902275298928787,24.0,1.24,0.842,21.91,1.053,0.03,-549.9353348216409,-3.951425426515162,23.7,4.3,-4.72,-14.14,-0.123,-0.02,-569.3006139095304
1680549912.6957877,1680549912,-4.0,-3.980514247381734,-15.747270568559824,24.0,1.24,0.842,21.91,1.053,0.03,-549.9353348216409,-3.951425426515162,23.7,4.3,-4.72,-14.14,-0.123,-0.02,-569.3006139095304
1680549912.7021065,1680549912,-4.0,-3.984004905885723,-15.882274688558606,23.9,1.19,0.811,21.54,1.108,-0.12,-441.47123491522314,-3.951425426515162,23.7,4.3,-4.72,-14.14,-0.123,-0.02,-569.3006139095304
1680549912.7088,1680549912,-4.0,-3.984004905885723,-15.782271636707659,23.9,1.19,0.811,21.54,1.108,-0.12,-441.47123491522314,-4.078252685493417,23.7,4.31,-4.88,-13.8,-0.121,0.03,-201.65792171762448
1680549912.7150965,1680549912,-4.0,-3.984004905885723,-16.767301697439496,23.9,1.19,0.811,21.54,1.108,-0.12,-441.47123491522314,-4.078252685493417,23.7,4.31,-4.88,-13.8,-0.121,0.03,-201.65792171762448
1680549912.721493,1680549912,-4.0,-3.984004905885723,-16.382289947813344,23.9,1.19,0.811,21.54,1.108,-0.12,-441.47123491522314,-4.078252685493417,23.7,4.31,-4.88,-13.8,-0.121,0.03,-201.65792171762448
1680549912.7277837,1680549912,-4.0,-3.984004905885723,-16.432291473738818,23.9,1.19,0.811,21.54,1.108,-0.12,-441.47123491522314,-4.078252685493417,23.7,4.31,-4.88,-13.8,-0.121,0.03,-201.65792171762448
1680549912.7338533,1680549912,-4.0,-3.984004905885723,-15.597265990783402,23.9,1.19,0.811,21.54,1.108,-0.12,-441.47123491522314,-4.078252685493417,23.7,4.31,-4.88,-13.8,-0.121,0.03,-201.65792171762448
1680549912.74041,1680549912,-4.0,-3.984004905885723,-15.902275298928787,23.9,1.19,0.811,21.54,1.108,-0.12,-441.47123491522314,-4.078252685493417,23.7,4.31,-4.88,-13.8,-0.121,0.03,-201.65792171762448
1680549912.7481992,1680549912,-4.0,-4.053236299548164,-15.77227133152256,23.9,1.17,0.85,21.51,1.245,-0.35,-80.52188578613107,-3.9863320115550485,23.7,4.29,-4.794,-14.08,-0.114,0.05,-103.71367082719269
1680549912.7553453,1680549912,-4.0,-4.053236299548164,-16.077280639667944,23.9,1.17,0.85,21.51,1.245,-0.35,-80.52188578613107,-4.070107815650776,23.7,4.33,-4.873,-13.87,-0.121,0.0,-516.466070418567
1680549912.7627578,1680549912,-4.0,-3.9874955643897114,-16.457292236701555,23.9,1.51,0.963,22.98,1.275,0.2,-283.35059035496863,-4.092215319509371,23.7,4.4,-4.865,-14.04,-0.133,0.0,-579.0430835800363
