timestamp (epoch),loop time (s),des velocity,velocityM (Rad/S),Futek Torque (Nm),v_busM,i_busM,v_qM,i_qM,v_dM,i_dM,accelM,velocityL (Rad/S),v_busL,i_busL,v_qL,i_qL,v_dL,i_dL,accelL
1680728297.3169837,1680728297,-4.0,-0.0011635528346628863,-0.01995060884429023,22.6,0.0,0.0,0.0,-0.004,0.0,-0.005769474121257908,-0.013962634015954635,22.7,0.0,-0.011,0.0,-0.006,0.0,-8.69927684249177
1680728297.3233442,1680728297,-4.0,-0.0011635528346628863,-0.10995335551013952,22.6,0.0,0.0,0.0,-0.004,0.0,-0.005769474121257908,0.008144869842640205,22.8,0.0,-0.015,0.0,-0.009,0.0,0.015746012300353288
1680728297.3307776,1680728297,-4.0,-0.2181661564992912,-0.19495594958344853,22.6,0.18,-0.875,-2.53,0.005,-0.07,-1.8859728825194317,-0.639372282647256,22.6,1.15,-2.162,-9.14,-0.735,2.46,-100.19883883561937
1680728297.3385446,1680728297,-4.0,-0.2181661564992912,-7.400175835444216,22.6,0.18,-0.875,-2.53,0.005,-0.07,-1.8859728825194317,-0.639372282647256,22.6,1.15,-2.162,-9.14,-0.735,2.46,-100.19883883561937
1680728297.346103,1680728297,-4.0,-0.2181661564992912,-12.805340787987927,22.6,0.18,-0.875,-2.53,0.005,-0.07,-1.8859728825194317,-3.4598243538700926,22.3,3.27,-3.512,-14.12,-3.544,0.59,-227.518032152249
1680728297.3536954,1680728297,-4.0,-3.2876185343399853,-10.1102585406049,22.7,0.31,0.298,14.91,0.505,-1.84,-151.53378721572275,-3.367321903514393,22.4,3.39,-3.174,-14.54,-3.146,-0.87,-445.5104324395317
1680728297.3602858,1680728297,-4.0,-3.2876185343399853,-4.72009404583881,22.7,0.31,0.298,14.91,0.505,-1.84,-151.53378721572275,-3.367321903514393,22.4,3.39,-3.174,-14.54,-3.146,-0.87,-445.5104324395317
1680728297.3677344,1680728297,-4.0,-3.808308427851627,-8.395206201361152,22.6,-0.32,-0.501,7.51,0.367,-0.63,-250.10495838430137,-3.367321903514393,22.4,3.39,-3.174,-14.54,-3.146,-0.87,-445.5104324395317
1680728297.374819,1680728297,-4.0,-4.016584385256284,-11.590303707998917,22.7,-0.29,-0.398,8.93,0.237,-1.08,-594.2844628692667,-4.785692808968451,22.2,3.9,-4.597,-11.0,-0.8,-6.28,-218.99029556434223
1680728297.3814104,1680728297,-4.0,-4.016584385256284,-17.05047033906066,22.7,-0.29,-0.398,8.93,0.237,-1.08,-594.2844628692667,-5.155120833973918,22.0,5.09,-5.819,-12.97,-0.161,-0.13,-757.9005199768706
