timestamp (epoch),loop time (s),des current,velocityM (Rad/S),Futek Torque (Nm),v_busM,i_busM,v_qM,i_qM,v_dM,i_dM,accelM,velocityL (Rad/S),v_busL,i_busL,v_qL,i_qL,v_dL,i_dL,accelL
1682011370.5575309,1682011370,14.0,11.57386004639173,12.050537753227317,24.7,-3.19,2.997,-18.53,1.316,2.62,530.1562532820153,11.269590980127385,23.7,8.68,10.265,13.27,-0.879,-0.61,406.63171568449036
1682011370.5634427,1682011370,14.0,11.698360199700659,14.820622289498592,24.7,-3.05,2.738,-17.43,1.187,-0.4,2361.3493902038244,11.269590980127385,23.7,8.68,10.265,13.27,-0.879,-0.61,406.63171568449036
1682011370.56914,1682011370,14.0,11.698360199700659,19.94077854426708,24.7,-3.05,2.738,-17.43,1.187,-0.4,2361.3493902038244,11.269590980127385,23.7,8.68,10.265,13.27,-0.879,-0.61,406.63171568449036
1682011370.574508,1682011370,14.0,11.698360199700659,16.53567462874234,24.7,-3.05,2.738,-17.43,1.187,-0.4,2361.3493902038244,11.269590980127385,23.7,8.68,10.265,13.27,-0.879,-0.61,406.63171568449036
1682011370.581605,1682011370,14.0,11.543025896273164,15.680648535416708,24.7,-2.86,1.602,-26.62,2.457,-4.54,2541.7345489732315,11.269590980127385,23.7,8.68,10.265,13.27,-0.879,-0.61,406.63171568449036
1682011370.5892951,1682011370,14.0,11.82751456434824,11.405518068788716,24.7,-3.22,3.025,-18.58,1.358,2.38,1573.7640900737288,11.447032787413475,23.7,9.08,10.398,13.64,-0.902,-0.39,357.26122039124556
1682011370.5962877,1682011370,14.0,11.830423446434896,15.550644568010483,24.8,-3.15,2.532,-19.12,1.628,-1.16,1514.941453962132,11.447032787413475,23.7,9.08,10.398,13.64,-0.902,-0.39,357.26122039124556
1682011370.6024134,1682011370,14.0,11.830423446434896,18.855745431684312,24.8,-3.15,2.532,-19.12,1.628,-1.16,1514.941453962132,12.137601394785898,23.3,10.36,11.135,14.37,-1.026,0.31,835.4468636037166
1682011370.610269,1682011370,14.0,11.841477198364194,17.400701027253014,24.7,-3.0,1.093,-26.01,2.659,-7.91,858.9446272073004,11.786790215135039,23.3,10.55,10.588,15.26,-1.142,0.14,1830.6751100352435
1682011370.616905,1682011370,14.0,11.71872237430726,10.89550250434888,24.8,-3.12,2.933,-21.83,1.97,2.04,1625.1242892857144,11.786790215135039,23.3,10.55,10.588,15.26,-1.142,0.14,1830.6751100352435
1682011370.6224906,1682011370,14.0,11.90779970993998,15.780651587267675,24.8,-3.19,2.74,-17.77,1.34,-0.55,2609.1804385435216,11.78329955663105,23.6,8.22,10.948,11.91,-0.739,-0.63,965.5141920679815
1682011370.6298006,1682011370,14.0,12.132947183447246,16.30566760948513,24.7,-3.24,2.246,-20.01,1.784,-1.44,1473.8551003047244,12.228940292306936,23.3,9.9,11.397,13.54,-0.866,0.47,1468.2933954651517
1682011370.6364417,1682011370,14.0,12.038117627422222,17.74071140354625,24.7,-2.94,1.058,-26.21,2.357,-8.67,1777.8079968017864,12.228940292306936,23.3,9.9,11.397,13.54,-0.866,0.47,1468.2933954651517
