timestamp (epoch),loop time (s),des velocity,velocityM (Rad/S),Futek Torque (Nm),v_busM,i_busM,v_qM,i_qM,v_dM,i_dM,accelM,velocityL (Rad/S),v_busL,i_busL,v_qL,i_qL,v_dL,i_dL,accelL
1680728517.7644563,1680728517,-4.0,-0.0034906585039886587,-0.03005091708120133,22.7,0.0,0.0,0.0,0.001,0.0,-3.0432099201649656,0.0,22.7,0.0,-0.01,0.0,0.0,0.0,0.0
1680728517.769278,1680728517,-4.0,-0.0034906585039886587,-0.020050611896120785,22.7,0.0,0.0,0.0,0.001,0.0,-3.0432099201649656,-0.0011635528346628863,22.7,0.0,-0.02,0.0,0.0,0.0,-0.010667962866881216
1680728517.7732797,1680728517,-4.0,-0.0034906585039886587,0.04995152439954964,22.7,0.0,0.0,0.0,0.001,0.0,-3.0432099201649656,-0.0011635528346628863,22.7,0.0,-0.02,0.0,0.0,0.0,-0.010667962866881216
1680728517.7786968,1680728517,-4.0,-0.5969026041820606,-0.14505442670980528,22.6,0.37,-1.247,-4.19,0.009,0.19,-5.09145573600482,-1.274672130373192,22.5,1.7,-3.053,-11.18,-1.948,4.17,-143.73487512401334
1680728517.783983,1680728517,-4.0,-0.5969026041820606,-9.875351371807,22.6,0.37,-1.247,-4.19,0.009,0.19,-5.09145573600482,-2.6790804018112957,22.4,2.05,-3.889,-11.38,-3.228,4.03,-563.0826641430509
1680728517.788398,1680728517,-4.0,-0.5969026041820606,-12.300425379192479,22.6,0.37,-1.247,-4.19,0.009,0.19,-5.09145573600482,-4.555891124122532,22.3,3.48,-4.31,-13.11,-3.751,1.19,-740.622160593451
1680728517.792583,1680728517,-4.0,-2.687225271653936,-17.12057247840816,22.6,0.1,0.088,8.46,0.216,-1.84,-247.68249694104492,-4.555891124122532,22.3,3.48,-4.31,-13.11,-3.751,1.19,-740.622160593451
1680728517.798002,1680728517,-4.0,-2.687225271653936,-13.57046413769952,22.6,0.1,0.088,8.46,0.216,-1.84,-247.68249694104492,-4.555891124122532,22.3,3.48,-4.31,-13.11,-3.751,1.19,-740.622160593451
1680728517.8021357,1680728517,-4.0,-2.687225271653936,-13.895474056215102,22.6,0.1,0.088,8.46,0.216,-1.84,-247.68249694104492,-4.555891124122532,22.3,3.48,-4.31,-13.11,-3.751,1.19,-740.622160593451
1680728517.8060813,1680728517,-4.0,-2.687225271653936,-14.06047909176916,22.6,0.1,0.088,8.46,0.216,-1.84,-247.68249694104492,-4.555891124122532,22.3,3.48,-4.31,-13.11,-3.751,1.19,-740.622160593451
1680728517.8102756,1680728517,-4.0,-2.687225271653936,-14.545493893246258,22.6,0.1,0.088,8.46,0.216,-1.84,-247.68249694104492,-4.555891124122532,22.3,3.48,-4.31,-13.11,-3.751,1.19,-740.622160593451
1680728517.8145285,1680728517,-4.0,-2.687225271653936,-16.87556500137335,22.6,0.1,0.088,8.46,0.216,-1.84,-247.68249694104492,-4.712970756802021,22.0,5.12,-5.591,-13.44,-0.17,0.16,-179.95768709955522
1680728517.8186862,1680728517,-4.0,-4.51516677490933,-17.52058468581195,22.6,0.62,0.546,20.29,1.202,-1.54,-169.9479697818377,-4.814781629835023,22.1,5.49,-5.535,-14.34,-0.244,0.2,-1186.3857272437763
1680728517.8226924,1680728517,-4.0,-4.51516677490933,-17.730591094698944,22.6,0.62,0.546,20.29,1.202,-1.54,-169.9479697818377,-4.814781629835023,22.1,5.49,-5.535,-14.34,-0.244,0.2,-1186.3857272437763
1680728517.8269756,1680728517,-4.0,-4.632685611210282,-18.110602691732556,22.4,2.02,1.177,26.14,1.572,-0.4,-559.6455008594968,-4.601269684674384,22.1,5.22,-5.116,-14.63,-0.245,-0.05,-548.5043013644595
1680728517.8310297,1680728517,-4.0,-4.632685611210282,-16.40555065767389,22.4,2.02,1.177,26.14,1.572,-0.4,-559.6455008594968,-4.601269684674384,22.1,5.22,-5.116,-14.63,-0.245,-0.05,-548.5043013644595
1680728517.8362422,1680728517,-4.0,-4.241731858763552,-16.100541349528488,22.6,1.52,0.847,23.17,1.136,0.63,-357.93406905018406,-4.18064533494375,22.1,4.63,-4.763,-14.14,-0.166,-0.22,-524.3846242691442
1680728517.8403032,1680728517,-4.0,-4.241731858763552,-15.520523648793,22.6,1.52,0.847,23.17,1.136,0.63,-357.93406905018406,-4.084070449666731,22.1,4.58,-4.78,-13.95,-0.132,-0.05,-861.8350283416668
1680728517.8462887,1680728517,-4.0,-4.146902302738527,-15.285516476943267,22.5,0.95,0.641,20.68,0.958,0.06,-1194.8457041962913,-4.061962945808136,22.1,4.55,-4.819,-13.8,-0.125,-0.01,-792.7185665110203
1680728517.8501093,1680728517,-4.0,-4.146902302738527,-15.805532346568201,22.5,0.95,0.641,20.68,0.958,0.06,-1194.8457041962913,-4.061962945808136,22.1,4.55,-4.819,-13.8,-0.125,-0.01,-792.7185665110203
1680728517.8542871,1680728517,-4.0,-4.153301843329173,-16.055539976195572,22.6,0.94,0.632,20.48,1.035,-0.35,-627.8684640361479,-4.061962945808136,22.1,4.55,-4.819,-13.8,-0.125,-0.01,-792.7185665110203
1680728517.8586442,1680728517,-4.0,-4.153301843329173,-16.46555248878446,22.6,0.94,0.632,20.48,1.035,-0.35,-627.8684640361479,-4.232423436086249,22.1,4.81,-4.993,-13.99,-0.155,0.04,-305.52234867944196
1680728517.8630981,1680728517,-4.0,-4.153301843329173,-15.990537992492444,22.6,0.94,0.632,20.48,1.035,-0.35,-627.8684640361479,-4.224278566243608,22.1,4.83,-4.952,-14.14,-0.163,0.0,-976.4084915413774
1680728517.8671334,1680728517,-4.0,-4.153301843329173,-16.445551878414264,22.6,0.94,0.632,20.48,1.035,-0.35,-627.8684640361479,-4.224278566243608,22.1,4.83,-4.952,-14.14,-0.163,0.0,-976.4084915413774
1680728517.8711948,1680728517,-4.0,-4.212061261479649,-16.655558287301258,22.5,1.5,0.915,22.94,1.349,-0.01,-261.5036768002181,-4.224278566243608,22.1,4.83,-4.952,-14.14,-0.163,0.0,-976.4084915413774
1680728517.8765357,1680728517,-4.0,-4.158537831085155,-15.865534177678759,22.5,1.34,0.849,22.37,1.243,0.0,-536.9796151429035,-4.137593880061224,22.1,4.76,-4.846,-14.24,-0.153,0.02,-338.93845087137834
1680728517.8813055,1680728517,-4.0,-4.158537831085155,-16.63555767693106,22.5,1.34,0.849,22.37,1.243,0.0,-536.9796151429035,-4.116649929037292,22.0,4.65,-4.855,-13.94,-0.139,-0.06,-864.3180289313125
