timestamp (epoch),loop time (s),des velocity,velocity (Rad/S),Futek Torque (Nm),v_bus,i_bus,v_q,i_q
1678920159.4086895,0.04999995231628418,1,-0.0034906585039886587,0.021130644856111047,24.4,0.0,0.0,0.0
1678920159.4586828,0.09999990463256836,1,-0.0034906585039886587,2.3112005322428075,24.4,0.0,0.0,0.0
1678920159.509602,0.14999985694885254,1,-0.0034906585039886587,1.2811690981780544,24.4,0.0,0.0,0.0
1678920159.5592089,0.19999980926513672,1,1.0361437992673002,1.2211672670674822,24.4,0.0,0.136,-0.75
1678920159.6095479,0.2499997615814209,1,1.0361437992673002,1.271168792992956,24.4,0.0,0.136,-0.75
1678920159.6595721,0.2999997138977051,1,1.0361437992673002,1.3211703189184298,24.4,0.0,0.136,-0.75
1678920159.7089841,0.34999966621398926,1,1.0024007670620765,1.3261704715109701,24.4,0.0,0.002,-1.0
1678920159.759204,0.39999961853027344,1,0.9925105679674421,1.2211672670674822,24.4,0.0,0.029,-0.85
1678920159.8094227,0.4499995708465576,1,1.0076367548180596,1.2861692507705946,24.4,0.0,0.06,-0.72
1678920159.8595817,0.4999995231628418,1,1.008218531235391,1.291169403363135,24.5,0.0,0.028,-0.86
1678920159.9094224,0.549999475479126,1,1.008218531235391,1.271168792992956,24.5,0.0,0.028,-0.86
1678920159.9595227,0.5999994277954102,1,1.008218531235391,1.4861753544724898,24.5,0.0,0.028,-0.86
1678920160.0092273,0.6499993801116943,1,1.0151998482433684,1.4561744389172127,24.4,0.0,0.0,-1.3
1678920160.0591471,0.6999993324279785,1,1.0151998482433684,1.4811752018799318,24.4,0.0,0.0,-1.3
1678920160.1094859,0.7499992847442627,1,1.0076367548180596,1.2461680300302014,24.5,0.0,-0.021,-1.21
1678920160.1592975,0.7999992370605469,1,1.0076367548180596,1.271168792992956,24.5,0.0,-0.021,-1.21
1678920160.2097552,0.849999189376831,1,1.0076367548180596,1.1761658937345487,24.5,0.0,-0.021,-1.21
1678920160.2585907,0.8999991416931152,1,1.0076367548180596,1.206166809289826,24.5,0.0,-0.021,-1.21
1678920160.30825,0.9499990940093994,1,1.0076367548180596,1.291169403363135,24.5,0.0,-0.021,-1.21
1678920160.3583417,0.9999990463256836,1,1.0076367548180596,1.206166809289826,24.5,0.0,-0.021,-1.21
1678920160.4082003,1.0499989986419678,1,1.0076367548180596,1.2761689455854963,24.5,0.0,-0.021,-1.21
1678920160.4582043,1.099998950958252,1,0.9942558972194364,1.206166809289826,24.4,0.0,0.0,-0.99
1678920160.5100286,1.1499989032745361,1,0.9942558972194364,1.2511681826227594,24.4,0.0,0.0,-0.99
1678920160.559592,1.1999988555908203,1,0.9942558972194364,1.2411678774376789,24.4,0.0,0.0,-0.99
1678920160.6096473,1.2499988079071045,1,1.0105456369047168,1.4461741337321143,24.5,0.0,0.01,-0.94
1678920160.6596708,1.2999987602233887,1,1.0105456369047168,1.6361799322489112,24.5,0.0,0.01,-0.94
1678920160.708768,1.3499987125396729,1,1.0245082709206714,1.65618054261909,24.4,0.0,-0.017,-1.26
1678920160.7586946,1.399998664855957,1,0.9954194500540993,1.546177185583062,24.4,0.0,-0.008,-1.33
1678920160.8092246,1.4499986171722412,1,0.9954194500540993,1.5011758122501284,24.4,0.0,-0.008,-1.33
1678920160.8597493,1.4999985694885254,1,0.9954194500540993,1.211166961882384,24.4,0.0,-0.008,-1.33
1678920160.9083238,1.5499985218048096,1,0.9971647793060936,1.206166809289826,24.4,0.0,-0.027,-1.1
1678920160.959623,1.5999984741210938,1,0.9971647793060936,1.021161163365587,24.4,0.0,-0.027,-1.1
1678920161.0080438,1.649998426437378,1,0.9971647793060936,1.1761658937345487,24.4,0.0,-0.027,-1.1
1678920161.0586703,1.699998378753662,1,0.9925105679674421,1.2761689455854963,24.5,0.0,0.019,-0.88
1678920161.1089997,1.7499983310699463,1,0.9925105679674421,1.3661716922513456,24.5,0.0,0.019,-0.88
1678920161.1589205,1.7999982833862305,1,0.9971647793060936,1.3311706241035104,24.5,0.0,-0.006,-1.04
1678920161.2091146,1.8499982357025146,1,0.9878563566287905,1.2511681826227594,24.4,0.0,0.007,-0.97
1678920161.2591434,1.8999981880187988,1,0.9913470151327791,1.2811690981780544,24.4,0.0,0.056,-0.73
1678920161.3090677,1.949998140335083,1,1.0169451774953626,1.346171081881149,24.5,0.0,0.055,-0.73
1678920161.3638103,1.9999980926513672,1,1.02392649450334,1.4561744389172127,24.4,0.0,-0.007,-1.05
1678920161.4083877,2.0499980449676514,1,1.02392649450334,1.3911724552140825,24.4,0.0,-0.007,-1.05
1678920161.4590693,2.0999979972839355,1,0.9960012264714307,1.406172912991721,24.5,0.0,-0.015,-1.23
1678920161.5089848,2.1499979496002197,1,0.9960012264714307,1.3061698611407735,24.5,0.0,-0.015,-1.23
1678920161.5583537,2.199997901916504,1,0.9936741208021049,1.3711718448439036,24.5,0.0,-0.019,-1.19
1678920161.609933,2.249997854232788,1,0.9919287915501106,1.2461680300302014,24.4,0.0,-0.024,-1.14
1678920161.6583467,2.2999978065490723,1,0.9925105679674421,1.1361646729941732,24.4,0.0,-0.022,-1.06
1678920161.7085233,2.3499977588653564,1,0.9925105679674421,1.301169708548251,24.4,0.0,-0.022,-1.06
1678920161.758441,2.3999977111816406,1,0.9925105679674421,1.2611684878078577,24.4,0.0,-0.022,-1.06
1678920161.808759,2.449997663497925,1,1.0012372142274137,1.356171387066265,24.4,0.0,0.013,-0.91
1678920161.8591974,2.499997615814209,1,1.0012372142274137,0.9311584166997378,24.4,0.0,0.013,-0.91
1678920161.908545,2.549997568130493,1,0.9482955602502523,1.3411709292886265,24.4,0.0,0.0,-1.13
1678920161.958689,2.5999975204467773,1,0.9482955602502523,1.2761689455854963,24.4,0.0,0.0,-1.13
1678920162.01038,2.6499974727630615,1,0.9482955602502523,1.2311675722525628,24.4,0.0,0.0,-1.13
1678920162.0592155,2.6999974250793457,1,1.0093820840700538,1.2211672670674822,24.5,0.0,0.03,-0.85
1678920162.1081522,2.74999737739563,1,1.0093820840700538,1.2361677248451208,24.5,0.0,0.03,-0.85
1678920162.1581755,2.799997329711914,1,1.002982543479408,1.4511742863246546,24.5,0.0,-0.016,-1.12
1678920162.2071924,2.8499972820281982,1,1.0093820840700538,1.346171081881149,24.4,0.0,-0.02,-1.2
1678920162.2576544,2.8999972343444824,1,1.0093820840700538,1.4011727603991808,24.4,0.0,-0.02,-1.2
1678920162.3074715,2.9499971866607666,1,0.9960012264714307,1.296169555955693,24.5,0.0,-0.02,-1.16
1678920162.3576136,2.999997138977051,1,0.9960012264714307,1.1811660463271068,24.5,0.0,-0.02,-1.16
1678920162.4079728,3.049997091293335,2,0.9960012264714307,1.0861631470686994,24.5,0.0,-0.02,-1.16
1678920162.4571848,3.099997043609619,2,0.9960012264714307,2.161195954466386,24.5,0.0,-0.02,-1.16
1678920162.5075183,3.1499969959259033,2,2.1461732035356937,1.4811752018799318,24.4,0.05,0.816,0.02
1678920162.5577288,3.1999969482421875,2,2.1461732035356937,1.3061698611407735,24.4,0.05,0.816,0.02
1678920162.6075904,3.2499969005584717,2,1.9989837699508386,1.3411709292886265,24.4,-0.03,0.436,-0.98
1678920162.6574595,3.299996852874756,2,2.0001473227855016,1.1961665041047453,24.4,-0.03,0.425,-1.08
1678920162.707527,3.34999680519104,2,2.0001473227855016,1.4211733707693597,24.4,-0.03,0.425,-1.08
1678920162.7575867,3.399996757507324,2,2.0001473227855016,1.2011666566972856,24.4,-0.03,0.425,-1.08
1678920162.8092248,3.4499967098236084,2,2.0001473227855016,1.3211703189184298,24.4,-0.03,0.425,-1.08
1678920162.8592374,3.4999966621398926,2,2.0042197577068217,1.3961726078066405,24.4,-0.02,0.449,-0.92
1678920162.9099216,3.5499966144561768,2,1.996656664281513,1.4461741337321143,24.4,-0.03,0.388,-1.24
1678920162.9595568,3.599996566772461,2,1.996656664281513,1.2861692507705946,24.4,-0.03,0.388,-1.24
1678920163.0089867,3.649996519088745,2,1.996656664281513,1.376171997436444,24.4,-0.03,0.388,-1.24
1678920163.059259,3.6999964714050293,2,2.0181823917227764,1.351171234473707,24.4,-0.03,0.37,-1.37
1678920163.1103146,3.7499964237213135,2,2.0181823917227764,1.0561622315134045,24.4,-0.03,0.37,-1.37
1678920163.1585271,3.7999963760375977,2,2.0181823917227764,1.046161926328324,24.4,-0.03,0.37,-1.37
1678920163.209172,3.849996328353882,2,1.979785148178901,1.2861692507705946,24.4,-0.02,0.459,-0.85
1678920163.2598066,3.899996280670166,2,2.008873969045473,1.4111730655842791,24.4,-0.03,0.407,-1.12
1678920163.308466,3.94999623298645,2,2.013528180384125,1.436173828547016,24.5,-0.03,0.398,-1.25
1678920163.3579328,3.9999961853027344,2,2.0234183794787595,1.601178864101076,24.4,-0.03,0.406,-1.1
1678920163.4081345,4.0499961376190186,2,2.0234183794787595,1.5311767278054234,24.4,-0.03,0.406,-1.1
1678920163.4571822,4.099996089935303,2,1.9780398189269068,1.1811660463271068,24.4,-0.03,0.368,-1.35
1678920163.5074172,4.149996042251587,2,1.9780398189269068,0.8811568907742462,24.4,-0.03,0.368,-1.35
1678920163.557318,4.199995994567871,2,1.9780398189269068,1.1561652833643699,24.4,-0.03,0.368,-1.35
1678920163.6090848,4.249995946884155,2,1.9780398189269068,1.4511742863246546,24.4,-0.03,0.368,-1.35
1678920163.6576397,4.2999958992004395,2,1.9780398189269068,1.301169708548251,24.4,-0.03,0.368,-1.35
1678920163.7077785,4.349995851516724,2,1.9780398189269068,1.3961726078066405,24.4,-0.03,0.368,-1.35
1678920163.7573125,4.399995803833008,2,1.9780398189269068,1.4161732181768372,24.4,-0.03,0.368,-1.35
1678920163.807089,4.449995756149292,2,2.0065468633761476,1.2461680300302014,24.5,-0.03,0.366,-1.36
1678920163.857306,4.499995708465576,2,1.9856029123522154,1.1661655885494504,24.4,-0.03,0.41,-1.15
1678920163.9073908,4.54999566078186,2,1.9856029123522154,1.3161701663258896,24.4,-0.03,0.41,-1.15
1678920163.9572213,4.5999956130981445,2,2.013528180384125,1.2461680300302014,24.4,-0.02,0.483,-0.77
1678920164.009496,4.649995565414429,2,2.013528180384125,1.3861723026215422,24.4,-0.02,0.483,-0.77
1678920164.0596874,4.699995517730713,2,1.9978202171161759,1.3211703189184298,24.5,-0.03,0.438,-1.0
1678920164.108779,4.749995470046997,2,2.0013108756201645,1.546177185583062,24.4,-0.03,0.427,-1.02
1678920164.158655,4.799995422363281,2,2.0013108756201645,1.376171997436444,24.4,-0.03,0.427,-1.02
1678920164.2096183,4.849995374679565,2,2.0013108756201645,1.1611654359569101,24.4,-0.03,0.427,-1.02
1678920164.2591887,4.89999532699585,2,1.980948701013564,0.9261582641071797,24.4,-0.03,0.399,-1.14
1678920164.3085263,4.949995279312134,2,1.9669860669976094,1.0911632996612397,24.5,-0.02,0.474,-0.78
1678920164.3586748,4.999995231628418,2,1.9669860669976094,1.376171997436444,24.5,-0.02,0.474,-0.78
1678920164.407559,5.049995183944702,2,2.0129464039667933,1.2811690981780544,24.5,-0.03,0.444,-0.99
1678920164.4572873,5.099995136260986,2,2.0129464039667933,1.596178711508518,24.5,-0.03,0.444,-0.99
1678920164.5073166,5.1499950885772705,2,2.0251637087307537,1.5561774907681603,24.4,-0.03,0.409,-1.18
1678920164.557267,5.199995040893555,2,2.0251637087307537,1.346171081881149,24.4,-0.03,0.409,-1.18
1678920164.6076326,5.249994993209839,2,1.9943295586121872,0.8311553648487902,24.4,-0.03,0.4,-1.18
1678920164.6576865,5.299994945526123,2,1.9943295586121872,1.2011666566972856,24.4,-0.03,0.4,-1.18
1678920164.7076876,5.349994897842407,2,1.9943295586121872,1.3161701663258896,24.4,-0.03,0.4,-1.18
1678920164.7576156,5.399994850158691,2,1.9943295586121872,1.2211672670674822,24.4,-0.03,0.4,-1.18
1678920164.8077154,5.449994802474976,2,1.989093570856204,1.406172912991721,24.5,-0.02,0.46,-0.85
1678920164.8576894,5.49999475479126,2,2.0146917332187875,1.356171387066265,24.4,-0.03,0.446,-0.98
1678920164.9082117,5.549994707107544,2,2.0117828511321303,1.4461741337321143,24.4,-0.03,0.38,-1.28
1678920164.9570937,5.599994659423828,2,2.0187641681401076,1.2461680300302014,24.4,-0.03,0.403,-1.2
1678920165.0073075,5.649994611740112,2,2.0187641681401076,1.3211703189184298,24.4,-0.03,0.403,-1.2
1678920165.0576415,5.6999945640563965,2,1.9972384406988444,1.3411709292886265,24.4,-0.02,0.45,-0.91
1678920165.1076407,5.749994516372681,2,1.9844393595175527,1.356171387066265,24.4,-0.03,0.414,-1.08
1678920165.1576166,5.799994468688965,2,1.9844393595175527,1.2211672670674822,24.4,-0.03,0.414,-1.08
1678920165.2077003,5.849994421005249,2,1.9844393595175527,1.5211764226203073,24.4,-0.03,0.414,-1.08
1678920165.2577047,5.899994373321533,2,2.0146917332187875,1.4111730655842791,24.4,-0.03,0.398,-1.2
1678920165.307813,5.949994325637817,2,2.0146917332187875,1.2161671144749242,24.4,-0.03,0.398,-1.2
1678920165.3577008,5.999994277954102,2,1.99142067652553,1.2561683352153175,24.4,-0.03,0.391,-1.19
1678920165.4082835,6.049994230270386,4,1.99142067652553,1.3961726078066405,24.4,-0.03,0.391,-1.19
1678920165.4576004,6.09999418258667,4,1.99142067652553,2.6162098403881906,24.4,-0.03,0.391,-1.19
1678920165.5074754,6.149994134902954,4,1.99142067652553,2.6112096877956326,24.4,-0.03,0.391,-1.19
1678920165.5577211,6.199994087219238,4,4.094542425178697,2.1061942759483543,24.5,-0.16,1.151,-2.73
1678920165.60771,6.2499940395355225,4,4.021820373012266,1.65118039002655,24.5,-0.14,1.185,-1.95
1678920165.657229,6.299993991851807,4,4.021820373012266,1.8611867989135433,24.5,-0.14,1.185,-1.95
1678920165.7071314,6.349993944168091,4,4.021820373012266,1.5511773381756022,24.5,-0.14,1.185,-1.95
1678920165.7571006,6.399993896484375,4,4.021820373012266,1.9961909189123261,24.5,-0.14,1.185,-1.95
1678920165.8091748,6.449993848800659,4,3.9810960237990654,2.216197632984418,24.5,-0.14,1.169,-1.95
1678920165.8590388,6.499993801116943,4,3.9810960237990654,2.0011910715048664,24.5,-0.14,1.169,-1.95
1678920165.908815,6.5499937534332275,4,3.9810960237990654,2.5362073989074396,24.5,-0.14,1.169,-1.95
1678920165.958573,6.599993705749512,4,3.9810960237990654,2.1161945811334526,24.5,-0.14,1.169,-1.95
1678920166.0090141,6.649993658065796,4,3.9810960237990654,2.0311919870601436,24.5,-0.14,1.169,-1.95
1678920166.0588748,6.69999361038208,4,3.9810960237990654,1.9411892403943123,24.5,-0.14,1.169,-1.95
1678920166.110576,6.749993562698364,4,3.9810960237990654,1.6811813055818268,24.5,-0.14,1.169,-1.95
1678920166.1580153,6.799993515014648,4,3.955497861436482,1.4711748966948512,24.5,-0.14,1.173,-1.93
1678920166.2095144,6.849993467330933,4,3.955497861436482,2.0411922922452597,24.5,-0.14,1.173,-1.93
1678920166.2584176,6.899993419647217,4,4.017747938090946,1.6811813055818268,24.4,-0.13,1.195,-1.8
1678920166.3097746,6.949993371963501,4,4.009021291830975,2.1361951915036492,24.4,-0.14,1.188,-1.84
1678920166.3581583,6.999993324279785,4,4.009021291830975,2.2611990063173337,24.4,-0.14,1.188,-1.84
1678920166.4087644,7.049993276596069,4,4.009021291830975,2.016191529282505,24.4,-0.14,1.188,-1.84
1678920166.4586117,7.0999932289123535,4,4.009021291830975,2.6412106033509275,24.4,-0.14,1.188,-1.84
1678920166.5086277,7.149993181228638,4,4.009021291830975,2.186196717429123,24.4,-0.14,1.188,-1.84
1678920166.558933,7.199993133544922,4,4.031710572106901,1.901188019653919,24.5,-0.14,1.171,-1.91
1678920166.6089096,7.249993085861206,4,3.9560796378538137,2.0911938181707157,24.4,-0.13,1.206,-1.72
1678920166.659191,7.29999303817749,4,3.9560796378538137,1.6761811529892867,24.4,-0.13,1.206,-1.72
1678920166.7084763,7.349992990493774,4,3.9560796378538137,1.8611867989135433,24.4,-0.13,1.206,-1.72
1678920166.7589726,7.399992942810059,4,3.9560796378538137,1.991190766319768,24.4,-0.13,1.206,-1.72
1678920166.809053,7.449992895126343,4,4.01542083242162,1.541177032990504,24.5,-0.13,1.209,-1.68
1678920166.8588352,7.499992847442627,4,4.01542083242162,2.021191681875063,24.5,-0.13,1.209,-1.68
1678920166.908942,7.549992799758911,4,3.993313328563026,2.3712023633533796,24.5,-0.14,1.175,-1.9
1678920166.9593801,7.599992752075195,4,3.993313328563026,1.9411892403943123,24.5,-0.14,1.175,-1.9
1678920167.0078351,7.6499927043914795,4,3.993313328563026,2.596209230017994,24.5,-0.14,1.175,-1.9
1678920167.0575647,7.699992656707764,4,4.031710572106901,1.9711901559495715,24.4,-0.14,1.186,-1.86
1678920167.1079113,7.749992609024048,4,4.031710572106901,2.0911938181707157,24.4,-0.14,1.186,-1.86
1678920167.1575665,7.799992561340332,4,4.031710572106901,2.076193360393077,24.4,-0.14,1.186,-1.86
1678920167.2076235,7.849992513656616,4,4.031710572106901,1.5111761174352267,24.4,-0.14,1.186,-1.86
1678920167.257064,7.8999924659729,4,4.031710572106901,1.5211764226203073,24.4,-0.14,1.186,-1.86
