timestamp (epoch),loop time (s),des current,velocityM (Rad/S),Futek Torque (Nm),v_busM,i_busM,v_qM,i_qM,v_dM,i_dM,accelM,velocityL (Rad/S),v_busL,i_busL,v_qL,i_qL,v_dL,i_dL,accelL
1682011428.575244,1682011428,14.0,0.0011635528346628863,-0.036491113620407134,24.5,0.0,0.003,0.0,-0.005,0.0,0.4755695097094019,0.0,24.5,0.0,0.008,0.0,0.006,0.0,0.0
1682011428.5799773,1682011428,14.0,0.0011635528346628863,-0.036491113620407134,24.5,0.0,0.003,0.0,-0.005,0.0,0.4755695097094019,0.0,24.5,0.0,0.008,0.0,0.006,0.0,0.0
1682011428.585051,1682011428,14.0,0.0034906585039886587,1.0435418463698376,24.5,0.0,0.004,0.0,-0.001,0.0,0.011241895746852726,0.37291868350945506,24.3,0.94,2.199,7.37,0.239,-0.89,3.31817440964997
1682011428.589549,1682011428,14.0,0.06864961724511029,9.353795455183569,24.4,0.1,0.825,1.82,0.0,-0.01,15.448112249028117,0.37291868350945506,24.3,0.94,2.199,7.37,0.239,-0.89,3.31817440964997
1682011428.5955267,1682011428,14.0,2.075778257038589,12.578893877376629,24.5,0.08,-0.195,-6.79,0.139,-1.01,231.93683857983862,0.37291868350945506,24.3,0.94,2.199,7.37,0.239,-0.89,3.31817440964997
1682011428.6015704,1682011428,14.0,3.017092500280864,21.744173579515973,24.2,2.81,-1.901,-26.11,0.953,-2.04,550.678987915493,4.177154676439762,23.7,4.12,5.604,11.65,0.3,3.02,285.5647901163757
1682011428.6068861,1682011428,14.0,3.017092500280864,15.943996572161012,24.2,2.81,-1.901,-26.11,0.953,-2.04,550.678987915493,4.177154676439762,23.7,4.12,5.604,11.65,0.3,3.02,285.5647901163757
1682011428.6112037,1682011428,14.0,3.017092500280864,16.724020376598414,24.2,2.81,-1.901,-26.11,0.953,-2.04,550.678987915493,4.177154676439762,23.7,4.12,5.604,11.65,0.3,3.02,285.5647901163757
1682011428.617108,1682011428,14.0,3.855432317655474,11.043847031464598,24.5,0.47,-0.278,-18.0,0.479,-0.16,239.86316792013326,3.627375962061548,24.0,3.91,4.407,14.06,-0.072,-0.15,217.28841467571087
1682011428.6218421,1682011428,14.0,3.855432317655474,12.07387846552935,24.5,0.47,-0.278,-18.0,0.479,-0.16,239.86316792013326,3.627375962061548,24.0,3.91,4.407,14.06,-0.072,-0.15,217.28841467571087
1682011428.6273983,1682011428,14.0,4.6687557490848315,11.708867326273378,24.5,-0.29,0.263,-13.61,0.133,-2.59,452.51608155958553,4.685045488770112,23.9,4.34,5.793,12.15,-0.049,0.23,457.56310328623005
1682011428.6319475,1682011428,14.0,4.6687557490848315,14.213943775139626,24.5,-0.29,0.263,-13.61,0.133,-2.59,452.51608155958553,4.685045488770112,23.9,4.34,5.793,12.15,-0.049,0.23,457.56310328623005
1682011428.6379316,1682011428,14.0,5.283693422204167,14.373948658101146,24.5,-0.18,0.076,-16.22,0.035,-5.17,969.3983839519105,6.133668767925405,23.7,5.76,6.955,13.13,-0.325,0.42,592.3390920976376
1682011428.6425657,1682011428,14.0,5.283693422204167,14.843963001800589,24.5,-0.18,0.076,-16.22,0.035,-5.17,969.3983839519105,6.718935843760837,23.6,6.15,7.242,13.38,-0.415,0.15,1110.9855509433673
1682011428.6468601,1682011428,14.0,5.283693422204167,14.098940265511024,24.5,-0.18,0.076,-16.22,0.035,-5.17,969.3983839519105,6.718935843760837,23.6,6.15,7.242,13.38,-0.415,0.15,1110.9855509433673
1682011428.6513116,1682011428,14.0,7.004588064670576,14.233944385509806,24.6,-0.06,0.022,-18.69,0.026,-12.28,446.5900303712044,7.378088524597362,23.6,6.41,7.747,13.1,-0.461,0.0,838.3027552776057
