timestamp (epoch),loop time (s),des velocity,velocityM (Rad/S),Futek Torque (Nm),v_busM,i_busM,v_qM,i_qM,v_dM,i_dM,accelM,velocityL (Rad/S),v_busL,i_busL,v_qL,i_qL,v_dL,i_dL,accelL
1679857334.576968,1679857334,-4.0,0.008726646259971648,0.0038701181066436163,24.9,0.0,-0.011,0.0,0.0,0.0,6.847934015862323,-0.0023271056693257726,24.8,0.0,0.004,0.0,-0.001,0.0,-1.440889964168256
1679857334.5846689,1679857334,-4.0,-0.015707963267948967,-0.0011300344859144218,25.0,0.0,-0.015,0.0,-0.001,0.0,-0.05065500254613796,0.0017453292519943294,24.8,0.0,0.002,0.0,0.006,0.0,0.003281939465747192
1679857334.5922234,1679857334,-4.0,-1.6574810129772817,-0.10113308633686202,24.6,5.82,-4.224,-23.31,-2.087,7.21,-219.96453860638078,-1.5469434936843074,24.6,1.36,-2.727,-8.65,-0.21,0.81,-210.996432094373
1679857334.599851,1679857334,-4.0,-1.6574810129772817,0.12887393292031035,24.6,5.82,-4.224,-23.31,-2.087,7.21,-219.96453860638078,-5.578654065791208,24.5,2.93,-5.31,-9.97,-1.301,1.93,-669.8319896588896
1679857334.6080184,1679857334,-4.0,-1.6574810129772817,0.5188858351390024,24.6,5.82,-4.224,-23.31,-2.087,7.21,-219.96453860638078,-10.35620200491702,24.3,4.16,-7.404,-11.43,-3.578,4.6,-1382.0694102272257
1679857334.616166,1679857334,-4.0,-3.093886987368615,0.02887088106936275,24.8,-0.03,-2.062,0.81,-1.256,2.37,-130.39946306253458,-10.35620200491702,24.3,4.16,-7.404,-11.43,-3.578,4.6,-1382.0694102272257
1679857334.6239724,1679857334,-4.0,-3.7274415058425565,0.023870728476822478,25.0,1.84,-2.444,-8.8,-2.088,4.71,-456.05503975150833,-21.24065699677099,24.6,4.84,-9.737,-9.8,-8.049,2.34,-1318.1105298818527
1679857334.6318889,1679857334,-4.0,-3.7274415058425565,-0.0011300344859144218,25.0,1.84,-2.444,-8.8,-2.088,4.71,-456.05503975150833,-24.69640891571976,24.6,2.58,-9.897,-3.54,-8.045,-0.97,-2919.1817918171305
1679857334.6387827,1679857334,-4.0,-3.7274415058425565,-0.771153533738218,25.0,1.84,-2.444,-8.8,-2.088,4.71,-456.05503975150833,-24.69640891571976,24.6,2.58,-9.897,-3.54,-8.045,-0.97,-2919.1817918171305
1679857334.64643,1679857334,-4.0,-3.7274415058425565,0.02887088106936275,25.0,1.84,-2.444,-8.8,-2.088,4.71,-456.05503975150833,-27.44879314611482,24.6,1.28,-10.998,-1.0,-6.558,-1.5,-1809.9701749453209
1679857334.6539745,1679857334,-4.0,-3.7274415058425565,0.038871186254461065,25.0,1.84,-2.444,-8.8,-2.088,4.71,-456.05503975150833,-27.75015333029251,24.7,0.37,-11.313,-0.36,-6.057,-0.34,-5086.643611304046
1679857334.6616178,1679857334,-4.0,-3.7274415058425565,0.0038701181066436163,25.0,1.84,-2.444,-8.8,-2.088,4.71,-456.05503975150833,-28.064312595651487,24.7,1.34,-11.607,-1.13,-5.405,-1.63,-3407.447056801025
1679857334.6691592,1679857334,-4.0,-3.448770601940795,0.11387347514267177,25.0,1.11,-2.883,-7.15,-2.22,3.12,-76.90937591145669,-28.068385030572806,24.8,0.08,-11.844,-0.05,-4.957,-0.17,-3341.963255663884
1679857334.6766183,1679857334,-4.0,-3.448770601940795,-0.6261491085543369,25.0,1.11,-2.883,-7.15,-2.22,3.12,-76.90937591145669,-28.06140371356483,24.8,0.45,-11.976,-0.39,-4.606,-0.58,-3574.080891604258
1679857334.6838033,1679857334,-4.0,-3.448770601940795,0.07387225440229628,25.0,1.11,-2.883,-7.15,-2.22,3.12,-76.90937591145669,-27.9479573121852,24.8,0.33,-11.979,-0.45,-4.587,-0.02,-4439.731437576322
1679857334.6907663,1679857334,-4.0,-3.2498030672134415,0.09387286477247514,24.9,0.32,-2.54,-2.54,-1.859,2.14,-144.54572644777951,-27.9479573121852,24.8,0.33,-11.979,-0.45,-4.587,-0.02,-4439.731437576322
1679857334.6980786,1679857334,-4.0,-3.2498030672134415,0.05387164403209965,24.9,0.32,-2.54,-2.54,-1.859,2.14,-144.54572644777951,-27.9479573121852,24.8,0.33,-11.979,-0.45,-4.587,-0.02,-4439.731437576322
1679857334.7041368,1679857334,-4.0,-3.3312517656398435,-0.0011300344859144218,25.0,0.39,-2.569,-3.64,-2.176,1.79,-241.22583138756013,-27.9479573121852,24.8,0.33,-11.979,-0.45,-4.587,-0.02,-4439.731437576322
1679857334.7107682,1679857334,-4.0,-3.3312517656398435,0.0038701181066436163,25.0,0.39,-2.569,-3.64,-2.176,1.79,-241.22583138756013,-27.836838016474893,24.8,0.89,-12.157,-0.99,-4.065,-0.62,-7064.998247600914
1679857334.7160764,1679857334,-4.0,-3.400483159302285,-0.12113369670705865,25.0,0.23,-2.358,-2.5,-2.167,1.22,-260.3482853621418,-27.836838016474893,24.8,0.89,-12.157,-0.99,-4.065,-0.62,-7064.998247600914
1679857334.7210107,1679857334,-4.0,-3.400483159302285,0.02887088106936275,25.0,0.23,-2.358,-2.5,-2.167,1.22,-260.3482853621418,-27.89676098746003,24.8,0.35,-12.264,-0.45,-3.769,-0.08,-3928.53532758352
1679857334.726277,1679857334,-4.0,-3.4097915819795883,0.0038701181066436163,25.0,0.05,-2.268,-0.69,-2.002,0.34,-333.3807890967928,-27.89676098746003,24.8,0.35,-12.264,-0.45,-3.769,-0.08,-3928.53532758352
1679857334.7317815,1679857334,-4.0,-3.461569683122087,-0.011130339671012734,25.1,0.13,-2.035,-1.23,-2.265,0.38,-666.4620412300987,-27.89676098746003,24.8,0.35,-12.264,-0.45,-3.769,-0.08,-3928.53532758352
1679857334.7366965,1679857334,-4.0,-3.461569683122087,0.038871186254461065,25.1,0.13,-2.035,-1.23,-2.265,0.38,-666.4620412300987,-27.89676098746003,24.8,0.35,-12.264,-0.45,-3.769,-0.08,-3928.53532758352
1679857334.74181,1679857334,-4.0,-3.419681781074223,-0.13613415448469723,25.1,0.1,-2.311,-0.99,-2.087,0.28,-334.0129703573829,-27.89676098746003,24.8,0.35,-12.264,-0.45,-3.769,-0.08,-3928.53532758352
1679857334.7467935,1679857334,-4.0,-3.4638967887914127,-0.061131865596486534,25.0,0.07,-1.968,-0.49,-2.248,0.0,-683.0576472409487,-27.89676098746003,24.8,0.35,-12.264,-0.45,-3.769,-0.08,-3928.53532758352
1679857334.7515018,1679857334,-4.0,-3.4638967887914127,-0.0011300344859144218,25.0,0.07,-1.968,-0.49,-2.248,0.0,-683.0576472409487,-27.814148736198966,24.8,0.57,-12.314,-0.7,-3.581,-0.2,-905.2048860227058
1679857334.7567039,1679857334,-4.0,-3.4324808622555145,-0.026130797448651318,25.0,0.11,-2.269,-1.01,-2.142,0.22,-346.686931646441,-27.814148736198966,24.8,0.57,-12.314,-0.7,-3.581,-0.2,-905.2048860227058
1679857334.7616525,1679857334,-4.0,-3.467969223712733,-0.021130644856111047,25.0,0.04,-1.996,-0.33,-2.251,0.0,-688.6198545138101,-27.814148736198966,24.8,0.57,-12.314,-0.7,-3.581,-0.2,-905.2048860227058
1679857334.7667532,1679857334,-4.0,-3.4569154717834354,-0.03113095004120936,25.0,0.03,-2.055,-0.21,-2.188,-0.08,-677.5715870350554,-27.75422576521383,24.7,0.66,-12.272,-0.82,-3.712,-0.23,-1857.383606342972
1679857334.7715003,1679857334,-4.0,-3.4569154717834354,-0.061131865596486534,25.0,0.03,-2.055,-0.21,-2.188,-0.08,-677.5715870350554,-27.75422576521383,24.7,0.66,-12.272,-0.82,-3.712,-0.23,-1857.383606342972
1679857334.7766602,1679857334,-4.0,-3.4702963293820583,0.008870270699166127,25.0,0.05,-1.926,-0.34,-2.318,-0.05,-350.37136883500193,-27.75422576521383,24.7,0.66,-12.272,-0.82,-3.712,-0.23,-1857.383606342972
1679857334.7817957,1679857334,-4.0,-3.4586608010354296,-0.061131865596486534,25.0,0.04,-2.023,-0.35,-2.264,0.01,-692.7072310393519,-27.75422576521383,24.7,0.66,-12.272,-0.82,-3.712,-0.23,-1857.383606342972
1679857334.7872765,1679857334,-4.0,-3.4534248132794465,-0.0011300344859144218,25.0,0.07,-2.079,-0.64,-2.272,0.07,-626.095245646736,-27.75422576521383,24.7,0.66,-12.272,-0.82,-3.712,-0.23,-1857.383606342972
1679857334.7924032,1679857334,-4.0,-3.4761140935553727,0.04887149143955938,25.0,0.06,-1.938,-0.48,-2.347,0.0,-689.0627745666466,-27.71873740375661,24.7,1.2,-12.241,-1.34,-3.78,-0.88,-1085.7987108684272
1679857334.7979999,1679857334,-4.0,-3.459242577452761,-0.011130339671012734,25.0,0.05,-2.023,-0.43,-2.289,-0.01,-643.448267310321,-27.800767878600343,24.8,0.75,-12.346,-0.82,-3.465,-0.62,-5261.715261779023
