timestamp (epoch),loop time (s),des velocity,velocity (Rad/S),Futek Torque (Nm),v_bus,i_bus,v_q,i_q
1678923230.1167831,0.04999995231628418,-14.0,-0.0017453292519943294,0.012470380565829942,24.5,0.0,0.005,0.0
1678923230.166885,0.09999990463256836,-14.0,-0.004654211338651545,3.847587419049656,24.5,0.0,0.003,0.0
1678923230.216997,0.14999985694885254,-14.0,-4.854924202630893,2.2475385894344946,24.3,1.24,-0.356,-7.28
1678923230.2668674,0.19999980926513672,-14.0,-4.854924202630893,-2.6126097305215623,24.3,1.24,-0.356,-7.28
1678923230.3171191,0.2499997615814209,-14.0,-14.024302316191768,-0.7175518979460982,24.5,1.39,-1.637,-3.27
1678923230.369873,0.2999997138977051,-14.0,-14.024302316191768,-1.182566089053001,24.5,1.39,-1.637,-3.27
1678923230.4197881,0.34999966621398926,-14.0,-14.024302316191768,-1.5075760075685984,24.5,1.39,-1.637,-3.27
1678923230.4666445,0.39999961853027344,-14.0,-14.066771994656964,-0.8375555601672423,24.5,-0.17,-0.573,0.46
1678923230.5167522,0.4499995708465576,-14.0,-14.003358365167838,-0.9425587646107302,24.5,-0.17,-0.553,0.44
1678923230.566917,0.4999995231628418,-14.0,-14.003358365167838,-0.7825538816492283,24.5,-0.17,-0.553,0.44
1678923230.6170084,0.549999475479126,-14.0,-14.003358365167838,-0.8675564757225196,24.5,-0.17,-0.553,0.44
1678923230.666959,0.5999994277954102,-14.0,-14.003358365167838,-1.26756868312631,24.5,-0.17,-0.553,0.44
1678923230.7169867,0.6499993801116943,-14.0,-14.003358365167838,-0.9975604431287621,24.5,-0.17,-0.553,0.44
1678923230.76694,0.6999993324279785,-14.0,-14.003358365167838,-0.7625532712790317,24.5,-0.17,-0.553,0.44
1678923230.816917,0.7499992847442627,-14.0,-14.003358365167838,-0.8775567809076179,24.5,-0.17,-0.553,0.44
1678923230.8670034,0.7999992370605469,-14.0,-13.966706450875956,-0.7525529660939334,24.5,-0.16,-0.561,0.44
1678923230.9172418,0.849999189376831,-14.0,-14.031283633199747,-0.4825447260963678,24.5,-0.17,-0.572,0.46
1678923230.9668393,0.8999991416931152,-14.0,-14.063281336152976,-1.0725627320169728,24.5,-0.17,-0.569,0.46
1678923231.0169587,0.9499990940093994,-14.0,-14.063281336152976,-1.1625654786828044,24.5,-0.17,-0.569,0.46
1678923231.0669348,0.9999990463256836,-14.0,-14.063281336152976,-0.6525499142429858,24.5,-0.17,-0.569,0.46
1678923231.1168664,1.0499989986419678,-14.0,-13.877694659024245,-0.5325462520218416,24.5,-0.17,-0.556,0.45
1678923231.1683216,1.099998950958252,-14.0,-13.923654995993429,-0.2925389275795709,24.5,-0.15,-0.565,0.41
1678923231.218696,1.1499989032745361,-14.0,-13.937617630009385,-0.8575561705374213,24.5,-0.16,-0.571,0.44
